"","Municipality","state","Households","HHServedTrash","HHServedRecycling","TrashServiceType","ProvideTrashCart","RecyclingServiceType","ProvRecycleBinorCart","FoodServiceType","MunicipalService","SchoolService","BusinessService","Non-resident Trash and Recycling Service","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","ProvideCompostBins","SolidWasteTons","TipFee","Food Waste","Yard Waste","RecyclingTons","YardWasteServiceType"
"39","Brookline","MA","24436","14547","14547","Curbside","Yes","Curbside","Yes","None","Both","Both","Both","Neither","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes",8584,"Yes","259.49","3293.33",4912.81,"Curbside"
"40","Buckland","MA","682","620","620","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","Yes",243.04,"Yes",NA,NA,151.5,NA
"41","Burlington","MA","7250","7055","7055","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",5756.29,"Yes",NA,NA,2285.93,"Curbside"
"42","Cambridge","MA","50000","32500","44700","Curbside","No","Curbside","Yes","Curbside","Both","Both","Recycling","Neither","Yes","No","No","No","No","Yes","Yes","Yes","No","No",15071,"Yes","380.71","2014",9132.26,"Curbside"
"43","Canton","MA","7477","7477","7459","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","Yes","No",7095.4,"Yes",NA,NA,1939,"Dropoff"
"44","Carlisle","MA","1800","1600","1600","Drop-off","No","Drop-off","No","Drop-off","Both","Both","Both","Neither","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes",1934.11,"Yes","0","0",976.99,"Dropoff"
"45","Charlemont","MA","473","440","440","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes",171.15,"Yes",NA,NA,77.68,NA
"46","Charlton","MA","4964","0","200","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",295,"Yes",NA,NA,65.18,NA
"48","Chelmsford","MA","13564","12697","12697","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","Yes",11160.04,"Yes",NA,NA,3488.7,"Dropoff"
"49","Cheshire","MA","1358","835","835","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes",639.24,"Yes",NA,"10.8",168.95,"Dropoff"
"50","Chester","MA","699","240","240","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","Yes","Yes","Yes","No","No","No",206.27,"Yes",NA,NA,94.32,NA
"51","Chesterfield","MA","555","226","226","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","Yes","Yes","No","No","No","Yes",158.94,"Yes",NA,NA,64.83,NA
"52","Chicopee","MA","24300","18902","19102","Curbside","Yes","Both","Yes","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No",11856.73,"Yes",NA,"6051.7",4943.51,"Both"
"54","Clarksburg","MA","720","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","No","No","Yes",2.65,"Yes",NA,NA,5.15,NA
"56","Cohasset","MA","3433","3157","3157","Drop-off","No","Drop-off","No","None","Both","Recycling","Both","Neither","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes",1438.81,"Yes",NA,NA,1033.63,"Dropoff"
"57","Colrain","MA","675","645","645","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","Yes",285.29,"Yes",NA,NA,154.66,NA
"58","Concord","MA","5500","3504","3587","Curbside","No","Curbside","No","None","Both","Both","Recycling","Neither","No","Yes","No","No","Yes","No","No","No","No","Yes",2642.74,"Yes",NA,"3365.4",1875.25,"Dropoff"
"59","Conway","MA","669","648","648","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes",550.09,"Yes","42",NA,267.91,NA
"60","Cummington","MA","426","295","295","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes",190.27,"Yes",NA,NA,86.98,NA
"61","Dalton","MA","2552","665","665","Drop-off","No","Drop-off","No","None","Both","Both","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No",440,"Yes",NA,"0",243.85,"Dropoff"
"62","Danvers","MA","15672","7738","7738","Both","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",6749.4,"Yes",NA,NA,2645.33,"Both"
"63","Dartmouth","MA","11563","10125","10125","Both","No","Both","Yes","None","Recycling","Recycling","Recycling","Neither","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes",5986.79,"Yes",NA,"1324.34",3900.44,"Both"
"64","Dedham","MA","8700","8700","8700","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",6840.28,"Yes",NA,NA,2765.51,"Curbside"
"65","Deerfield","MA","1762","1294","1294","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",620.3,"Yes","83","50",356.1,"Dropoff"
"68","Dighton","MA","2885","2785","2785","Curbside","No","Curbside","No","None","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","No","No","No","No","No",2050.45,"Yes",NA,"5.4",1077.74,"Dropoff"
"69","Douglas","MA","3173","1320","1320","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","No","No","Yes","No","No","No","No","Yes","No","Yes",1313,"Yes",NA,NA,370.62,NA
"70","Dover","MA","2150","2150","2150","Drop-off","No","Drop-off","No","Drop-off","Neither","Neither","Neither","Neither","Yes","No","No","No","No","No","No","No","Yes","Yes",1304.5,"Yes","39.700000000000003",NA,737.4,"Dropoff"
"71","Dracut","MA","12213","10619","10679","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","Yes",10522,"Yes",NA,"1010",3188.11,"Dropoff"
"72","Dudley","MA","3659","790","790","Drop-off","No","Drop-off","No","None","Both","Both","Neither","Neither","No","Yes","Yes","No","No","No","No","No","Yes","No",662,"Yes",NA,NA,170,"Dropoff"
"73","Dunstable","MA","1124","313","313","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","Yes","Yes","No","No","No","No","No","No","No","No",163.66,"Yes",NA,NA,117.63,NA
"74","Duxbury","MA","6632","5998","5998","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","Yes","Yes","No","No","Yes","Yes","No","No","No","No",2707,"Yes",NA,"3000",3030.39,"Dropoff"
"75","East Bridgewater","MA","4300","2800","2800","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","Yes","No","No","Yes","No","Yes",3024,"Yes",NA,"307.8",1707.9,"Dropoff"
"76","East Brookfield","MA","974","940","940","Curbside","No","Curbside","No","None","Both","Both","Both","Neither","No","Yes","No","No","Yes","No","No","No","No","No",645.68,"Yes",NA,NA,106.22,"Dropoff"
"77","East Longmeadow","MA","5680","5680","5680","Curbside","Yes","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes",4471.35,"Yes",NA,"4644.49",234309.97,"None"
"80","Egremont","MA","875","875","875","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Both","Neither","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes",511,"Yes","0.5","0.18",411.34,"Dropoff"
"81","Erving","MA","586","586","586","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",446.71,"Yes",NA,NA,112.98,"Dropoff"
"82","Everett","MA","15591","15000","15000","Curbside","Yes","Curbside","Yes","None","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","Yes","No","No","No",16492.1,"Yes",NA,NA,3003.79,"Curbside"
"83","Fairhaven","MA","6721","6513","6513","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","Yes","No","No","No","No","No","No","No",5604,"Yes",NA,"525",1650.19,"Both"
"84","Fall River","MA","36724","31352","31352","Both","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","Yes",29133.35,"Yes",NA,"3969",9977.49,"Both"
"85","Falmouth","MA","21000","21000","21000","Both","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","Yes","No",13031.79,"Yes",NA,NA,3535.85,"Dropoff"
"86","Fitchburg","MA","17012","13500","13500","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No",13510.02,"Yes",NA,"460.36",3368.86,"Both"
"87","Florida","MA","350","191","191","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","No","Yes","No","No","Yes","No","No","No","Yes",345.45,"Yes",NA,"9.4499999999999993",61.67,"Dropoff"
