"","Municipality","state","Households","HHServedTrash","HHServedRecycling","TrashServiceType","ProvideTrashCart","RecyclingServiceType","ProvRecycleBinorCart","FoodServiceType","MunicipalService","SchoolService","BusinessService","Non-resident Trash and Recycling Service","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","ProvideCompostBins","SolidWasteTons","TipFee","Food Waste","Yard Waste","RecyclingTons","YardWasteServiceType"
"147","Medfield","MA","4424","3519","3519","Drop-off","No","Drop-off","No","Drop-off","Neither","Neither","Neither","Neither","Yes","Yes","No","No","No","No","No","No","Yes","Yes",2915,"Yes","26.25","1972",1190.85,"Dropoff"
"148","Medford","MA","21322","19500","19500","Curbside","Yes","Curbside","Yes","None","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","No","No","No","No",16535,"Yes","0","2289",5661,"Curbside"
"149","Medway","MA","4458","4176","4176","Both","No","Both","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes",3763.32,"Yes",NA,"459",1863.22,"None"
"150","Melrose","MA","11514","8905","8905","Curbside","No","Both","No","None","Both","Both","Neither","Neither","Yes","Yes","No","No","No","No","No","No","No","Yes",7200,"Yes","26.7","990",3239.03,"Both"
"151","Merrimac","MA","3178","1288","1918","Curbside","No","Curbside","Yes","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","No",620.58,"Yes",NA,"75.06",565.05,"Dropoff"
"152","Methuen","MA","17907","14221","14221","Both","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","Yes","No","No","No","No","No","No","Yes",19379.11,"Yes",NA,NA,4445.54,"Both"
"153","Middleborough","MA","7362","6395","6395","Both","Yes","Both","Yes","None","Both","Neither","Neither","Neither","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes",5145,"Yes",NA,"370",2159.83,"None"
"154","Middlefield","MA","269","164","164","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","No","Yes","No","No","Yes","Yes",141.69,"Yes",NA,NA,50.99,NA
"155","Milford","MA","11500","9000","9000","Curbside","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",9987,"Yes",NA,NA,3300,"Dropoff"
"156","Millis","MA","3656","945","945","Drop-off","No","Drop-off","No","None","Both","Recycling","Neither","Neither","No","No","Yes","No","No","Yes","No","No","No","No",462.09,"Yes",NA,NA,287.53,"Dropoff"
"157","Milton","MA","9555","8937","9395","Curbside","Yes","Both","Yes","None","Both","Both","Recycling","Neither","Yes","No","No","No","Yes","No","No","No","No","Yes",6967.34,"Yes",NA,"373.03",3914.96,"Curbside"
"158","Monroe","MA","73","73","73","Curbside","No","Curbside","No","None","Both","Neither","Both","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",53.83,"Yes",NA,NA,26.45,NA
"159","Monson","MA","2962","2689","2689","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes",2543.97,"Yes",NA,NA,442.12,NA
"160","Montague","MA","2625","2625","2625","Curbside","No","Both","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","Yes",1609.97,"Yes",NA,"100",595.53,"Dropoff"
"161","Monterey","MA","902","600","600","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Both","Neither","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes",353.17,"Yes",NA,NA,288.65,NA
"164","Natick","MA","13440","10600","10600","Curbside","No","Both","Yes","Curbside","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","Yes",6092.04,"Yes",NA,"334.8",5373.35,"Both"
"165","Needham","MA","8402","5400","5400","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes",3259,"Yes","0","88.56",8453.61,"Dropoff"
"166","New Ashford","MA","95","0","51","None","No","Drop-off","No","None","Recycling","Neither","Recycling","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",0,"Yes",NA,NA,1468.73,NA
"167","New Bedford","MA","38888","36394","36394","Curbside","Yes","Both","Yes","None","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","Yes","No","No","Yes",32831.37,"Yes",NA,"5237.54",8912.67,"Both"
"169","New Salem","MA","426","228","228","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",186.01,"Yes","4",NA,105.78,NA
"170","Newburyport","MA","9950","7514","7514","Curbside","No","Both","Yes","Both","Both","Both","Both","Neither","Yes","No","No","No","No","Yes","No","No","Yes","No",5641.58,"Yes","227.18","487.08",2620.1,"Both"
"171","Newton","MA","33500","28500","28500","Curbside","Yes","Both","Yes","Drop-off","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","Yes","Yes",18690.06,"Yes",NA,"1949.4",10337.24,"Curbside"
"172","Norfolk","MA","3869","1270","1270","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","No","No","Yes","No","Yes","No","No","No","No","No",916,"Yes",NA,"455",424.87,"Dropoff"
"174","North Andover","MA","11607","8311","8311","Curbside","No","Curbside","No","None","Both","Both","Recycling","Neither","Yes","No","No","No","No","No","No","No","No","No",8864,"Yes",NA,NA,2729.19,"Both"
"175","North Attleborough","MA","11071","9002","9028","Both","No","Both","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No",5369.13,"Yes",NA,"675",3098.89,"Both"
"176","North Brookfield","MA","2053","1077","1077","Drop-off","No","Drop-off","No","None","Both","Recycling","Both","Neither","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No",640,"Yes",NA,"110",182.7,"Dropoff"
"177","North Reading","MA","5370","4363","4363","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","No","Yes","No","No","No","No","No","No","No","No",4523,"Yes",NA,NA,288.3,"Both"
"178","Northampton","MA","12065","3003","3003","Drop-off","No","Drop-off","No","Drop-off","Neither","Neither","Neither","Neither","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes",907.28,"Yes","201.37","262",884.74,"Dropoff"
"179","Northborough","MA","5949","4953","4953","Curbside","No","Curbside","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes",2097,"Yes",NA,"461.97",1174.86,"Dropoff"
"180","Northfield","MA","1145","825","825","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",393.64,"Yes","63",NA,269.01,NA
"181","Norwell","MA","3680","3567","3567","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","No",2806,"Yes",NA,"311.04000000000002",1750.3,"Dropoff"
"182","Norwood","MA","13381","9639","9639","Curbside","Yes","Both","Yes","Drop-off","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","Yes",10616.97,"Yes","12","164.7",3722.99,"Both"
"183","Oak Bluffs","MA","3035","2831","1894","Both","No","Drop-off","No","Drop-off","Both","Trash","Neither","Neither","No","No","No","No","Yes","No","No","No","No","Yes",759.33,"Yes","6.1",NA,261.87,"Dropoff"
"184","Oakham","MA","810","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","No","No","No",0,"Yes",NA,NA,0,NA
"185","Orange","MA","2475","1170","1170","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes",734.71,"Yes","8","100",297.18,"Dropoff"
"188","Palmer","MA","4255","0","4255","None","No","Drop-off","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","Yes","No","No",0,"Yes",NA,NA,95,"Dropoff"
"189","Paxton","MA","1592","1592","1592","Curbside","No","Both","Yes","None","Both","Neither","Neither","Neither","No","Yes","No","No","No","Yes","No","No","Yes","Yes",1524.35,"Yes",NA,NA,165.85,"Dropoff"
"190","Peabody","MA","17394","14000","14000","Both","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","No",16398.69,"Yes",NA,"1155.29",3668.52,"Both"
"191","Pembroke","MA","6686","6544","6544","Curbside","Yes","Both","Yes","None","Both","Recycling","Neither","Neither","No","Yes","No","No","No","No","No","No","Yes","No",5803.99,"Yes",NA,"900",2216.27,"Dropoff"
"193","Peru","MA","380","335","335","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes",207.53,"Yes",NA,NA,66,NA
"194","Petersham","MA","495","294","294","Drop-off","No","Drop-off","No","None","Both","Recycling","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No",216.76,"Yes",NA,NA,130,NA
"195","Phillipston","MA","803","392","392","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","Yes","No","No","Yes","No","No","No","Yes","No",192.63,"Yes",NA,NA,92.49,"Dropoff"
"196","Pittsfield","MA","13741","13617","13617","Both","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",17440,"Yes",NA,NA,1962.92,"Both"
"197","Plainfield","MA","312","216","216","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","No","No","No","Yes","Yes","No","No","No","Yes",106.21,"Yes",NA,NA,53.13,NA
"198","Plainville","MA","4043","2389","2389","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes",1569,"Yes",NA,"441",859.59,"Dropoff"
"199","Plymouth","MA","32340","4355","5088","Drop-off","No","Drop-off","No","None","Both","Both","Neither","Neither","No","Yes","No","No","Yes","No","No","Yes","No","Yes",2519.61,"Yes",NA,"1000",1275.2,"Dropoff"
"200","Princeton","MA","1257","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","Yes","Yes","Yes",0,"Yes",NA,NA,28.91,NA
"202","Quincy","MA","45000","33500","45000","Curbside","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","Yes",32467.65,"Yes",NA,"1182.5999999999999",5742.78,"Both"
"203","Randolph","MA","12253","9526","9526","Curbside","No","Curbside","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","No","No","No","No","No","No",11105,"Yes",NA,"1469",2556,"Both"
"204","Raynham","MA","4562","1190","1190","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","No","Yes","No","Yes","No","No","No","No","No",742.06,"Yes",NA,NA,796.1,"Dropoff"
"205","Reading","MA","8895","8293","8293","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","No",7585.39,"Yes",NA,"4123.7",2805.72,"Both"
"206","Revere","MA","27269","20452","20452","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","No",18989.65,"Yes",NA,"760.67",3697.73,"Curbside"
"207","Rochester","MA","1984","1984","1984","Both","Yes","Both","Yes","None","Both","Neither","Neither","Neither","Yes","No","Yes","No","No","No","No","Yes","No","Yes",2313.87,"Yes","0","0",589.43,"None"
"208","Rockland","MA","5445","5075","5445","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes",4554,"Yes",NA,"500",1386.86,"Dropoff"
"209","Rockport","MA","4922","3125","3125","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","Yes","No","No","No","Yes","Yes","No","No","Yes","No",2090.93,"Yes",NA,NA,1032.18,"Dropoff"
"210","Rowe","MA","216","184","184","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",127.87,"Yes",NA,NA,68.35,NA
"212","Russell","MA","563","420","420","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","Yes","No","No","Yes","Yes","No","No","No","No",245.37,"Yes",NA,NA,84.86,NA
"213","Salem","MA","20981","17000","17000","Curbside","Yes","Curbside","Yes","Drop-off","Both","Both","Both","Neither","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes",12004.11,"Yes","190.04","585.29",4117.21,"Both"
"215","Saugus","MA","10662","8758","8758","Curbside","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","Yes","No","No","No",9793.74,"Yes",NA,"248.4",2435.41,"Both"
"216","Savoy","MA","293","164","164","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",100.17,"Yes",NA,NA,36.98,NA
"217","Scituate","MA","7850","5237","5237","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","No","No","Yes","No","Yes","Yes","No","No","Yes","No",5497,"Yes",NA,NA,5194.74,"Dropoff"
"218","Seekonk","MA","5306","5146","5146","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No",3230.86,"Yes",NA,"135",1541.85,"Both"
"219","Sharon","MA","6686","5376","5376","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","No","Yes","No","No","Yes","No","No","No","No","No",4692.08,"Yes",NA,NA,2557.64,"Both"
"220","Sheffield","MA","1703","849","858","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","No","Yes","No","No","No","No","No","No","Yes","No",636.68,"Yes",NA,NA,237.56,NA
"221","Shelburne","MA","607","503","503","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes",257.69,"Yes",NA,NA,123.42,"Both"
"222","Sherborn","MA","1456","1456","1456","Drop-off","No","Drop-off","No","Drop-off","Both","Recycling","Both","Neither","Yes","No","No","No","No","Yes","No","No","Yes","Yes",1598.31,"Yes","38.25",NA,721.15,NA
"223","Shirley","MA","2500","1654","1654","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","Yes","No","No",1130.94,"Yes",NA,"25",362.85,"Dropoff"
"225","Shutesbury","MA","814","814","810","Curbside","No","Curbside","No","None","Both","Both","Both","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",353.93,"Yes",NA,NA,197.02,NA
"226","Somerset","MA","6944","6944","6944","Both","No","Curbside","Yes","None","Both","Both","Both","Neither","Yes","No","Yes","No","Yes","No","No","No","No","No",4089.74,"Yes",NA,NA,2479,"Both"
"227","Somerville","MA","28000","26250","26250","Curbside","Yes","Curbside","Yes","None","Both","Both","Recycling","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",18846.21,"Yes",NA,NA,7692.92,"Both"
"229","Southampton","MA","2275","976","976","Drop-off","No","Drop-off","No","None","Both","Both","Both","Neither","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No",689.48,"Yes","0","54",383.66,"Dropoff"
"230","Southbridge","MA","7303","6587","6587","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","Yes","No","Yes",5136,"Yes",NA,NA,1266,"Both"
"231","Southwick","MA","3536","2012","2035","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","Yes","No","No","No","Yes","No","Yes","No","No",2259,"Yes",NA,"180",1095.25,"Dropoff"
"232","Spencer","MA","3796","1812","1812","Drop-off","No","None","No","Drop-off","Neither","Neither","Neither","Neither","No","No","Yes","No","Yes","No","No","Yes","Yes","No",1228,"Yes",NA,NA,521,"Dropoff"
"233","Springfield","MA","61000","40000","40000","Curbside","Yes","Both","Yes","None","Both","Neither","Neither","Neither","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No",45840.04,"Yes",NA,"9433.4",8579.57,"Both"
"234","Sterling","MA","3400","3200","3200","Curbside","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","Yes","Yes",2302.2,"Yes",NA,NA,955.22,"Dropoff"
"235","Stoneham","MA","9500","6700","6700","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","Yes","No","No","No","Yes","No","No","No","No",6272.7,"Yes",NA,"1800",2166.93,"Both"
"236","Sturbridge","MA","3751","1882","1882","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No",570,"Yes","0","13.5",463.22,"Dropoff"
"237","Sudbury","MA","6588","894","1764","Drop-off","No","Drop-off","No","None","Neither","Neither","Neither","Neither","No","Yes","No","No","Yes","No","No","No","Yes","No",679.49,"Yes",NA,"1.1299999999999999",442.84,"Dropoff"
"238","Sunderland","MA","896","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","No","No","No","No","No",0,"Yes",NA,NA,0,NA
"239","Sutton","MA","3690","1217","1217","Drop-off","No","Drop-off","No","Drop-off","Neither","Neither","Neither","Neither","No","Yes","No","No","No","No","No","No","No","No",565,"Yes","1.5","5.72",328.37,"Dropoff"
"240","Swampscott","MA","5745","5125","5125","Curbside","Yes","Curbside","No","Both","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",4000.73,"Yes","74.5",NA,1931.14,"Curbside"
"241","Swansea","MA","6448","6137","6137","Curbside","No","Curbside","Yes","None","Both","Neither","Neither","Neither","No","Yes","No","No","Yes","No","No","No","No","No",3875.8,"Yes",NA,NA,2211.11,"Curbside"
"242","Taunton","MA","20408","16709","19872","Both","No","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes",12777.28,"Yes",NA,"2245.2399999999998",5065.96,"Both"
"243","Tewksbury","MA","10056","10056","10056","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","Yes",10008,"Yes",NA,"654",2845.38,"Curbside"
"244","Tisbury","MA","2511","2511","956","Drop-off","No","Drop-off","No","Drop-off","Trash","Neither","Neither","Neither","Yes","No","Yes","No","No","No","No","No","No","No",1278,"Yes",NA,NA,1604,"Dropoff"
"245","Topsfield","MA","2161","2161","2161","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","No","No",1896.06,"Yes","11.25","162",386.03,"Dropoff"
"248","Tyngsborough","MA","4387","3791","3791","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",3822,"Yes",NA,NA,1080.98,"Both"
"249","Tyringham","MA","277","204","204","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","No","No","Yes","No","No","No","No","No","No","No",160.92,"Yes",NA,NA,75.06,NA
"250","Upton","MA","3100","2384","2384","Curbside","Yes","Curbside","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","Yes","No","No",1512.48,"Yes","0","0",962.91,"Curbside"
"251","Uxbridge","MA","5500","0","0","None","No","None","No","None","Neither","Neither","Neither","Neither","No","No","No","No","No","Yes","No","Yes","No","Yes",0,"Yes",NA,NA,0,"Dropoff"
"252","Wakefield","MA","8925","7242","7242","Curbside","Yes","Curbside","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","No","Yes","Yes","No","No","Yes",7742.86,"Yes",NA,"2000",2150.15,"Both"
"253","Walpole","MA","8510","7432","7432","Curbside","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",8298.16,"Yes",NA,NA,1764.17,"Dropoff"
"254","Waltham","MA","23000","19170","19170","Curbside","No","Curbside","Yes","None","Both","Both","Recycling","Neither","Yes","No","No","No","No","No","No","No","No","No",19036.51,"Yes",NA,NA,4685.45,"Curbside"
"255","Wareham","MA","12380","0","0","Drop-off","No","Drop-off","No","None","Both","Both","Neither","Neither","No","No","No","No","No","No","No","No","No","No",0,"Yes",NA,NA,75.3,"Dropoff"
"257","Warwick","MA","362","300","300","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","Yes",109.63,"Yes",NA,NA,74.26,NA
"258","Watertown","MA","13652","10000","10500","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",9388.52,"Yes",NA,"1067",2982.37,"Both"
"259","Wayland","MA","5885","1845","1845","Drop-off","No","Drop-off","No","None","Both","Both","Neither","Neither","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes",733.39,"Yes",NA,"1080",803.19,"Dropoff"
"262","Wendell","MA","376","352","352","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",211.5,"Yes","3.5",NA,96.21,NA
"263","Wenham","MA","1419","1345","1345","Curbside","Yes","Curbside","No","Curbside","Both","Neither","Both","Neither","Yes","No","No","No","Yes","Yes","No","No","No","No",923.3,"Yes","208.2",NA,660.26,"Both"
"264","West Boylston","MA","2903","2488","2488","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","No","No","No","Yes","Yes",1486.85,"Yes",NA,NA,729.09,"Dropoff"
"265","West Bridgewater","MA","3226","1820","1820","Drop-off","No","Drop-off","No","None","Both","Neither","Neither","Neither","Yes","No","Yes","No","No","No","No","No","No","No",2437.37,"Yes",NA,NA,583.19,NA
"266","West Springfield","MA","12500","8860","8860","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","Yes","No","No","No",7400.46,"Yes",NA,NA,2150.07,"Both"
"268","Westborough","MA","5514","4137","5000","Drop-off","No","Drop-off","No","Drop-off","Recycling","Neither","Neither","Neither","Yes","No","Yes","No","No","Yes","No","No","No","No",5191,"Yes","3.79",NA,1463.91,"Dropoff"
"269","Westfield","MA","16143","16143","16143","Both","Yes","Both","Yes","None","Neither","Neither","Neither","Neither","Yes","Yes","Yes","No","No","No","No","No","No","No",11328.13,"Yes","0","0",3482.66,"Both"
"270","Westford","MA","8018","8018","8018","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",8212,"Yes",NA,NA,2547.25,"Dropoff"
"271","Westhampton","MA","692","387","387","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","Yes","Yes","No","No","Yes","Yes",275.24,"Yes",NA,NA,149.95,NA
"272","Westminster","MA","2987","2844","2987","None","No","Both","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","Yes","No",2795.72,"Yes",NA,NA,1013.91,"Dropoff"
"273","Weston","MA","3600","1675","1675","Drop-off","No","Drop-off","No","Drop-off","Both","Recycling","Neither","Neither","Yes","Yes","No","No","No","No","No","No","Yes","No",1455.9,"Yes","3.27","691.14",983.97,"Dropoff"
"275","Weymouth","MA","20562","17612","17612","Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither","No","Yes","No","No","No","No","No","No","No","No",17175.31,"Yes",NA,"5326",5665,"Both"
"276","Whately","MA","602","460","460","Drop-off","No","Drop-off","No","Drop-off","Both","Neither","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes",161.2,"Yes","42",NA,100.79,NA
"277","Whitman","MA","5238","4639","4639","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","No","Yes","No","No","No","Yes","No","No","No","Yes",3755.09,"Yes",NA,"1200",1447.85,"None"
"279","Williamsburg","MA","1137","866","866","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","No","Yes","No","No","No","Yes",571.35,"Yes",NA,NA,266.7,"Dropoff"
"280","Williamstown","MA","2252","1133","1133","Drop-off","No","Drop-off","No","None","Both","Neither","Recycling","Neither","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes",434.27,"Yes",NA,"10.8",150086.28,"Dropoff"
"281","Wilmington","MA","7378","7378","7378","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","No","Yes","No","No","No","Yes",7385,"Yes",NA,"826",2725.1,"Both"
"283","Winchester","MA","7869","5082","5082","Drop-off","No","Drop-off","No","Drop-off","Both","Both","Both","Neither","No","No","Yes","No","No","No","No","No","Yes","Yes",5867,"Yes","17","140.4",2548.9,"Dropoff"
"284","Windsor","MA","400","392","392","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes",172.69,"Yes",NA,NA,76.71,NA
"285","Woburn","MA","12076","11378","11378","Curbside","No","Curbside","No","None","Both","Both","Neither","Neither","Yes","No","No","No","No","No","No","No","No","No",14341.73,"Yes",NA,NA,2238.7,"Curbside"
"286","Worcester","MA","67000","53000","67000","Curbside","No","Both","No","None","Both","Neither","Recycling","Neither","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes",25321,"Yes",NA,"5322.51",11381.86,"Both"
"287","Worthington","MA","532","383","383","Drop-off","No","Drop-off","No","None","Both","Neither","Both","Neither","No","Yes","No","No","Yes","Yes","No","No","No","Yes",274.82,"Yes",NA,NA,122.97,NA
"288","Wrentham","MA","4300","4081","4081","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","No","No","No","Yes","Yes","No","No","No","No",3133.05,"Yes",NA,"81",1475.8,"Dropoff"
