"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"308","MCADENVILLE","2","893","No","No","No","Yes","No","379","345",NA,"Curbside","Curbside","None","None","Yes",NA,"No",611,40.99,NA,NA,NA,"NC",658.664451002096,469,89792,98587,6.7,36.3,56.9,0.4216
"309","MCDONALD","2","93","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",364.597663576092,39,36750,61892,28,54.9,17.2,0.4936
"310","MCFARLAN","2","94","No","No","No","Yes","Yes","35",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",102.227157448937,33,50313,67527,7.5,74.7,17.9,0.4009
"311","MEBANE","2","17854","No","No","No","Yes","Yes","5538","5538","5538","Both","Curbside","None","Curbside","Yes",NA,"No",5459,792,NA,NA,1980,"NC",1721.92054927964,6256,61213,74804,5.1,59.3,35.7,0.4372
"312","MESIC","2","144","No","No","No","Yes","Yes",NA,NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",139.496770974245,91,40156,48138,13.1,81.6,5.4,0.4452
"313","MICRO","2","462","No","No","No","No","Yes","192","192","192","Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,27.25,8.5,0,0,"NC",1101.85670120925,271,26813,44361,11.9,77.5,10.5,0.5275
"314","MIDDLEBURG","2","101","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",128.638862471152,117,NA,76744,2.8,74,23.3,0.4699
"315","MIDDLESEX","2","913","Yes","No","No","Yes","Yes",NA,NA,"508","Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,826,0,0,"NC",873.568847223073,435,32583,43091,19.5,65.8,14.6,0.4235
"316","MIDLAND","2","4715","No","No","No","Yes","No","1618","1618",NA,"Curbside","Curbside","None","None","Yes",NA,"No",770.93,127.92,NA,NA,NA,"NC",446.378758477511,1173,73897,78769,6.7,62.2,31.1,0.3161
"317","MIDWAY","2","4749","No","No","No","Yes","No","2246","2246",NA,"Curbside","Curbside","None","None","Yes",NA,"No",1688.65,371.89,NA,NA,NA,"NC",608.784987590028,1973,58382,70607,6.8,67,26.3,0.3611
"318","MILLS RIVER","2","7091","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",317.801643255226,3117,66223,83179,6.2,54.3,39.6,0.4284
"319","MILTON","2","155","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",398.505196222398,107,66250,99277,17.1,55.7,27.2,0.5865
"320","MINERAL SPRINGS","2","3172","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",386.348041100873,1123,74675,100200,8.9,55.4,35.7,0.453
"321","MINNESOTT BEACH","2","529","No","No","No","Yes","No","380","325",NA,"Curbside","Curbside","None","None","Yes",NA,"No",202.17,27.88,NA,NA,NA,"NC",152.35842557256,243,46827,71333,2.4,65.9,31.7,0.5073
"322","MINT HILL","2","26515","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",1086.08843636469,10474,80093,94637,5.3,54.3,40.3,0.3966
"323","MISENHEIMER","2","650","No","No","No","Yes","No","130","130",NA,"Curbside","Curbside","None","None","Yes",NA,"No",149.88,16.76,NA,NA,NA,"NC",400.400395501558,NA,NA,NA,NA,NA,NA,NA
"324","MOCKSVILLE","2","5915","No","No","No","Yes","Yes","1942","1942","1942","None","Curbside","None","Dropoff","Yes",NA,"No",1667.82,NA,NA,NA,24,"NC",761.587048559901,1932,45245,60105,14.4,65.8,19.9,0.4769
"325","MOMEYER","2","277","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",250.810964846205,163,31719,57904,12.6,71.9,15.7,0.5407
"326","MONROE","2","34715","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","Backyard","Curbside","Yes",NA,"No",11417.42,2440.4,1494.68,0,0,"NC",1134.09630246071,11509,53064,69080,21.5,60.8,17.8,0.411
"327","MONTREAT","2","902","No","No","No","Yes","No","677","677","677","Both","Curbside","None","Curbside","No",NA,"No",282.36,65.43,NA,NA,NA,"NC",330.882151389796,19,190750,159563,0,16.2,83.8,0.1844
"328","MOORESBORO","2","294","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",166.350841496758,92,37143,45647,14.2,75.5,10.3,0.4669
"329","MOORESVILLE","2","50477","No","No","No","Yes","Yes","15392","12270","15392","Both","Curbside","None","Curbside","Yes",NA,"No",16351.07,2513.88,4757.68,0,0,"NC",2030.48938816287,14729,70625,89609,5.7,52.6,41.7,0.4263
"330","MOREHEAD CITY","2","9540","No","No","No","No","Yes","3996","3996","3996","Curbside","Curbside","Backyard","Curbside","Yes",NA,"Yes",3134.77,616.04,0,1650,0,"NC",1297.07583467228,4663,44802,68982,9.4,57.3,33.3,0.4976
"331","MORGANTON","2","17431","No","No","No","Yes","Yes","7452",NA,"7452","None","Curbside","Backyard","Curbside","No",NA,"No",6294,NA,1899.27,0,900,"NC",905.787294275686,5945,40406,57377,24.8,54.6,20.6,0.4854
"332","MORRISVILLE","2","29925","No","No","No","Yes","Yes","6500","6500","6500","Curbside","Curbside","None","Curbside","Yes",NA,"No",4361.33,1542.74,309,0,0.149999999999977,"NC",3389.52753496503,10426,100495,122835,2.8,27.1,70.1,0.3759
"333","MORVEN","2","329","No","No","No","Yes","Yes","288",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",320.319801865781,218,52788,44086,16.3,72.9,10.8,0.2961
"334","MOUNT AIRY","2","10674","No","No","Yes","Yes","No","4285","4285","4285","Curbside","Curbside","None","Curbside","Yes",NA,"No",3527,620,0,896,0,"NC",913.078972041272,4704,30483,55713,17.1,59.8,23.1,0.5512
"335","MOUNT GILEAD","2","1170","No","No","No","No","Yes",NA,NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",335.264898883032,511,30888,40223,17.5,64.6,17.8,0.4375
"336","MOUNT HOLLY","2","17756","No","Yes","Yes","Yes","Yes","6200","6200","6200","Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,500,40,NA,"NC",1622.64233427385,6182,57379,76934,10.2,57.9,32,0.4347
"337","MOUNT OLIVE","2","4187","Yes","No","No","No","Yes","1879","1879","1879","Both","Both","None","Curbside","Yes",NA,"No",1431.22,224.6,102.12,0,0,"NC",1527.56500651228,1850,38553,64334,21.9,59.2,18.8,0.5325
"338","MOUNT PLEASANT","2","1689","No","No","No","No","No","680","680","680","Curbside","Curbside","None","Curbside","Yes",NA,"No",591.04,123.89,NA,NA,624,"NC",498.61902538269,729,60078,69594,18.6,62.5,19,0.4062
"339","MURFREESBORO","2","2598","No","No","No","No","Yes","865","865","865","Curbside","Curbside","None","Curbside","Yes",NA,"No",1236.38,57.01,NA,NA,3800,"NC",1144.5391423834,1157,43662,62234,9.4,63.8,26.8,0.5205
"340","MURPHY","2","1605","No","No","No","Yes","No","762",NA,NA,"None","Curbside","None","None","No",NA,"No",244,NA,NA,NA,NA,"NC",632.582082127699,877,31682,45224,10.2,59.6,30.2,0.4857
"341","NAGS HEAD","2","3175","No","No","No","Yes","No","4500","4500","4500","Both","Curbside","None","Curbside","Yes",NA,"No",10811.89,408.97,432.72,0,0,"NC",479.783297939459,1354,78235,92911,1.5,51,47.5,0.4175
"342","NASHVILLE","2","5635","No","No","No","Yes","Yes","2700","2210","2700","Curbside","Curbside","None","Curbside","Yes",NA,"No",2077.96,313.98,NA,NA,3000,"NC",1200.11510592484,2126,57536,70808,4.5,68.4,27,0.3962
"343","NAVASSA","2","1375","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",103.171100975269,700,40000,47618,15.9,65.6,18.5,0.3776
"344","NEW BERN","2","31240","No","No","No","No","Yes","14837",NA,"14837","None","Curbside","None","Curbside","No",NA,"No",9093.74,NA,13623.05,0,-11,"NC",1099.23317139133,13666,43406,66024,14.4,57.9,27.7,0.4806
"345","NEW LONDON","2","607","No","No","No","No","No","238","238",NA,"Curbside","Curbside","None","None","Yes",NA,"No",274.37,30.67,NA,NA,NA,"NC",307.289118876633,243,63304,76434,9.6,65.6,24.8,0.4075
"346","NEWLAND","2","712","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",952.204952891746,384,30000,35626,18.4,62.6,19,0.4114
"347","NEWPORT","2","4357","No","No","No","No","Yes","1624","1573","1624","Curbside","Curbside","None","Curbside","Yes",NA,"No",1345.27,214.27,NA,NA,832,"NC",571.943396752938,1649,57469,69325,13.1,63.2,23.6,0.3999
"348","NEWTON","2","13173","No","Yes","No","Yes","Yes","5440","3900","5440","Both","Curbside","None","Curbside","Yes",NA,"No",5312.56,260.27,324.46,0,-0.000000000000056843418860808,"NC",954.872580860835,5178,50659,58214,15,65.2,19.8,0.3786
"349","NEWTON GROVE","2","583","No","No","No","No","Yes","244",NA,NA,"None","Curbside","None","None","Yes",NA,"No",317,NA,NA,NA,NA,"NC",189.178910659252,300,55962,73890,19.4,51.1,29.5,0.4759
"350","NORLINA","2","917","No","No","No","Yes","Yes","484","430","484","Curbside","Curbside","None","Curbside","Yes",NA,"No",580.8,235,NA,NA,345.6,"NC",824.15289809565,589,29507,47903,11.7,72.7,15.6,0.4699
"351","NORMAN","2","100","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",177.903837403389,63,38542,38805,16.4,69,14.7,0.3084
"352","NORTH TOPSAIL BEACH","2","1006","Yes","No","No","No","Yes","2178","1778",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",1629.12,370.9,NA,NA,NA,"NC",161.788095887416,490,54167,86091,1.1,49.8,49,0.5318
"353","NORTH WILKESBORO","2","4373","Yes","No","No","Yes","Yes","1240","1240","1240","Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,1450,1200,-1450,"NC",659.701198022804,1902,30114,60804,22.9,59.3,17.8,0.5755
"354","NORTHWEST","2","707","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",98.5910276913684,336,38333,45318,6.9,76.8,16.3,0.4154
"355","NORWOOD","2","2368","No","No","No","Yes","Yes","1384",NA,"1384","None","Curbside","None","Curbside","No",NA,"No",1172,NA,NA,NA,823,"NC",521.828344545036,989,51088,60977,14.7,71.6,13.6,0.4514
"356","OAK CITY","2","265","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",264.201690047671,187,50417,44884,9.6,83.6,6.8,0.223
"357","OAK ISLAND","2","8448","No","No","No","Yes","Yes","10738","10738","10738","Both","Curbside","None","Curbside","Yes",NA,"No",775,2632.85,NA,NA,6841,"NC",438.403214381276,3881,71193,93638,4.5,55.9,39.5,0.4414
"358","OAK RIDGE","2","7488","No","No","No","No","No","2666","2106",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",2710.39,871.81,22.86,0,0,"NC",454.671244316358,2298,124342,140222,1,49.1,49.8,0.3683
"359","OAKBORO","2","2129","No","No","No","Yes","Yes","1073","930",NA,"Both",NA,"None","None","No",NA,"No",823.49,165.25,NA,NA,NA,"NC",858.595065883578,929,62141,71183,10,69.3,20.7,0.3548
"360","OCEAN ISLE BEACH","2","872","No","No","No","Yes","No","2719","2719","2719","Curbside","Curbside","None","Curbside","Yes",NA,"No",1015,836,400,0,0,"NC",233.05652005475,379,93750,128172,1.1,42.6,56.3,0.4995
"361","OLD FORT","2","810","No","No","No","No","No","482",NA,NA,"None","Curbside","None","None","No",NA,"No",388.21,NA,NA,NA,NA,"NC",663.465872999102,336,28269,45042,21.9,71.9,6.1,0.4811
"362","ORIENTAL","2","878","No","No","No","Yes","Yes","687","687","687","Curbside","Curbside","None","Curbside","Yes",NA,"No",474.77,167.97,203.47,0,0,"NC",613.947224207076,611,62734,75367,0.7,47.2,52,0.415
"363","ORRUM","2","59","No","No","No","No","No","40",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",123.374788271469,32,26250,38619,24.1,70.4,5.6,0.4237
"364","OSSIPEE","2","538","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",133.26,58.31,NA,NA,NA,"NC",886.643027754825,184,49318,53629,24.6,64.6,10.9,0.3588
"365","OXFORD","2","8632","No","No","No","No","Yes","3238","3238","3238","Curbside","Curbside","None","Curbside","Yes",NA,"No",2459.96,444.72,NA,NA,2496,"NC",1385.10438619784,3607,39059,54743,13.3,64.2,22.5,0.4511
"366","PANTEGO","2","164","No","No","No","Yes","No","85",NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",204.308924674423,97,88125,82237,8.9,61.2,29.9,0.3782
"367","PARKTON","2","501","No","No","No","Yes","Yes","252","252","260","Curbside","Curbside","None","Curbside","Yes",NA,"No",166.2,92.53,0,73.45,0,"NC",642.380104615926,182,50000,61120,14.5,68.6,16.8,0.4013
"368","PARMELE","2","242","No","No","No","Yes","No",NA,NA,"10","None","Curbside","None","Curbside","No",NA,"No",NA,NA,0,23.94,-0.0300000000000011,"NC",208.960046665202,132,25000,34645,11.4,73.2,15.5,0.3617
"369","PATTERSON SPRINGS","2","573","No","No","No","Yes","No","185",NA,NA,"None","Curbside","None","None","No",NA,"No",171.29,NA,NA,NA,NA,"NC",604.417512211809,314,35938,51230,12.1,77.8,10.1,0.5844
"370","PEACHLAND","2","390","No","No","No","Yes","No",NA,NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",386.915731204374,149,42813,59950,26,65.8,8.1,0.4327
"371","PELETIER","2","768","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",212.27951680985,312,37885,43686,5.3,78.7,15.9,0.4234
"372","PEMBROKE","2","2807","No","No","No","Yes","Yes","779","390","779","Both","Curbside","None","Curbside","Yes",NA,"No",4342.35,130.06,0,111.63,9.72,"NC",883.022094523902,852,21786,33741,20.2,56.5,23.2,0.5396
"373","PIKEVILLE","2","710","No","No","No","No","Yes",NA,NA,NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,52.95,0,NA,"NC",940.210804887851,289,49659,60888,20.5,60.8,18.7,0.4196
"374","PILOT MOUNTAIN","2","1440","Yes","No","No","Yes","Yes","565","565","565","Curbside","Curbside","None","Curbside","Yes",NA,"No",571.61,60.81,1750,0,0,"NC",707.262018841064,751,35306,58373,17.3,56.4,26.3,0.5297
"375","PINE KNOLL SHORES","2","1386","No","No","No","No","Yes","1157","1387","1022","Both","Curbside","None","Curbside","No",NA,"No",708.2,313.91,NA,NA,886,"NC",627.515020593483,635,82361,111195,0.6,43.3,56,0.4439
"376","PINE LEVEL","2","2062","No","No","Yes","Yes","Yes","895","650","895","Curbside","Curbside","None","Curbside","Yes",NA,"No",1118.02,28.56,266.94,0,0,"NC",1199.48276752502,777,50341,55076,16.3,67.5,16.2,0.3534
"377","PINEBLUFF","2","1479","No","No","No","Yes","Yes","630",NA,"647","None","Curbside","None",NA,"No",NA,"No",554.98,NA,0,747.34,0,"NC",565.683476996738,672,61023,63800,5.4,73.4,21.2,0.2875
"378","PINEHURST","2","17651","No","No","No","Yes","No","8789","8789","8789","Curbside","Curbside","None","Curbside","Yes",NA,"No",5670.9,1017.74,2274.66,0,0,"NC",1056.42968615192,NA,NA,NA,NA,NA,NA,NA
"379","PINETOPS","2","1196","No","Yes","No","Yes","Yes","552","552","552","Curbside","Curbside","None","Curbside","Yes",NA,"No",977.2,96.99,0,228,0,"NC",1191.93915524432,625,38777,52059,23.4,63.3,13.3,0.4587
"380","PINEVILLE","2","10628","No","No","No","Yes","No","2315","2315","2315","Curbside","Curbside","None","Curbside","Yes",NA,"No",1912.28,277.3,311.9,0,0.0900000000000318,"NC",1600.37339784823,3602,53873,71312,5,53.3,41.7,0.442
"381","PINK HILL","2","450","No","No","No","No","Yes","229",NA,NA,"None","Curbside","None","None","Yes",NA,"No",319.84,NA,NA,NA,NA,"NC",968.886303214173,279,36211,40292,30.8,55.2,14,0.3826
"382","PITTSBORO","2","4556","No","No","No","No","Yes","1750",NA,NA,"Curbside","Curbside","None","Curbside","No",NA,"No",1295,326,319,0,0,"NC",942.683634235658,1861,42114,64896,6.1,53.1,40.8,0.4497
"383","PLEASANT GARDEN","2","5009","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",333.333404706519,1657,83266,92264,6.6,69.5,23.8,0.4023
"384","PLYMOUTH","2","3300","Yes","No","No","No","Yes","1550",NA,"1550","None","Curbside","None","Curbside","Yes",NA,"No",2012.56,NA,0,720.57,0,"NC",819.026489930729,1573,17594,37523,22.4,70.9,6.7,0.5848
"385","POLKTON","2","2249","No","No","No","Yes","Yes","348",NA,NA,"None","Curbside","None","None","Yes",NA,"No",279,NA,NA,NA,NA,"NC",736.496618314604,499,43875,49284,23.7,71.5,4.9,0.3578
"386","POLKVILLE","2","517","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",277.511225227559,189,41328,45337,15.9,64.3,19.9,0.4058
"387","POLLOCKSVILLE","2","266","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",847.14445240407,114,36250,39898,1.9,75.8,22.3,0.4148
"388","POWELLSVILLE","2","188","No","No","No","Yes","Yes","160",NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",527.077941403715,140,36000,39545,14.5,72.8,12.7,0.2337
"389","PRINCETON","2","1326","Yes","No","No","Yes","Yes","673","673","673","Curbside","Curbside","None","Curbside","Yes",NA,"No",749.01,24.77,0,211.21,0,"NC",1164.6569924904,577,31349,49527,25.5,56.2,18.2,0.4651
"390","PRINCEVILLE","2","1250","No","Yes","Yes","No","Yes","523","523",NA,"Curbside",NA,"None","Curbside","Yes",NA,"No",945.57,13.67,945.57,0,NA,"NC",826.103810627048,719,33325,41380,26.3,66.7,6.9,0.4117
"391","PROCTORVILLE","2","120","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",264.376448302173,100,NA,39736,5.7,83.4,10.8,0.4311
"392","RAEFORD","2","4553","Yes","No","No","No","Yes","2500","2500","2500","Both","Curbside","None","Curbside","Yes",NA,"No",1370.04,702.5,NA,NA,11232,"NC",1062.74332417502,1814,34231,48729,14.3,66,19.6,0.4807
"393","RALEIGH","2","468977","Yes","No","No","Yes","Yes","123301","184460","123301","Both","Curbside","Backyard","Curbside","Yes",NA,"No",100489.65,30205.05,35875,0,-23054,"NC",3187.80666514885,187517,69720,98016,7.7,40.8,51.4,0.4682
"394","RAMSEUR","2","1776","No","No","No","Yes","Yes","806",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",669.4,NA,138,0,0,"NC",891.765785921411,680,23542,33229,19.1,70.8,10.1,0.4233
"395","RANDLEMAN","2","4608","Yes","Yes","No","Yes","Yes","2465",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",2054.9,NA,9,0,NA,"NC",1134.04074491914,1444,57598,69467,20.6,63.6,15.7,0.4582
"396","RANLO","2","4525","No","No","No","No","Yes","1700",NA,"1700","None","Curbside","None","Curbside","Yes",NA,"No",2104.16,NA,NA,NA,250,"NC",2489.36548190915,1262,66360,72148,12.8,72.7,14.4,0.3983
"397","RAYNHAM","2","60","No","No","No","Yes","No","25",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",493.008656618212,24,NA,49992,10.8,81,8.1,0.5413
"398","RED CROSS","2","762","No","No","No","Yes","No","314","314",NA,"Curbside","Curbside","None","None","Yes",NA,"No",430,41,NA,NA,NA,"NC",212.934211039792,337,39777,55568,9.8,81.9,8.3,0.4066
"399","RED OAK","2","3344","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",171.2156000622,1479,73010,102345,5.7,59.8,34.4,0.4678
"400","RED SPRINGS","2","3069","No","No","No","Yes","Yes","1600","1600","1600","Dropoff","Curbside","None","Curbside","No",NA,"No",1212.2,793.04,NA,NA,17280,"NC",876.736670662904,1308,24427,36787,20.1,58.1,21.8,0.5044
"401","REIDSVILLE","2","14593","No","Yes","No","Yes","Yes","5600",NA,"5600",NA,"Curbside","None",NA,"Yes",NA,"No",7572,NA,2633,0,20,"NC",986.651525504515,6466,35802,46732,19.4,62.1,18.5,0.4381
"402","RENNERT","2","273","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",247.565631650081,166,29500,39575,25.1,63.5,11.4,0.5385
"403","RHODHISS","2","994","Yes","No","No","Yes","Yes","446",NA,NA,"None","Curbside","None","Dropoff","Yes",NA,"No",436.62,NA,124,0,0,"NC",836.884983337771,347,38625,50466,26.5,66.5,7,0.4495
"404","RICH SQUARE","2","884","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",286.49274880631,340,30870,49602,22.1,64.9,13.1,0.498
"405","RICHFIELD","2","582","No","No","No","No","No",NA,NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",240.264611421492,297,67028,70499,6.5,68.5,24.9,0.3112
"406","RICHLANDS","2","2290","No","No","No","Yes","Yes","921","921","921","Curbside","Curbside","None","Curbside","Yes",NA,"No",855.61,123.24,NA,NA,611.41,"NC",1403.25618931944,818,52059,64277,7.7,73.9,18.5,0.4326
"407","RIVER BEND","2","2897","No","No","No","Yes","No","1500","1500","1500","None","Curbside","None","Curbside","Yes",NA,"No",72,27,343.52,0,0,"NC",1152.84918343731,1343,67750,78008,7,60.8,32.4,0.3936
"408","ROANOKE RAPIDS","2","15158","Yes","No","No","Yes","Yes","6100",NA,NA,"Dropoff","Curbside","None","Curbside","Yes",NA,"No",6051.97,65.75,NA,NA,12467,"NC",1529.10296777586,6118,38500,53559,15,64.8,20.3,0.4842
"409","ROBBINS","2","1173","No","No","No","Yes","Yes","431","553","431","None","Curbside","None","Curbside","No",NA,"No",5316,14,500,0,0,"NC",736.76885367912,558,42743,55394,45.7,49.6,4.8,0.482
"410","ROBBINSVILLE","2","596","No","No","No","No","No","266","50",NA,"Curbside","Curbside","None","None","No",NA,"No",312.76,3.64,NA,NA,NA,"NC",897.516308411332,387,16150,25320,45.6,48,6.5,0.4906
"411","ROBERSONVILLE","2","1263","No","No","No","Yes","No","880",NA,"880","None","Curbside","None","Curbside","No",NA,"No",116,NA,104,0,16,"NC",1042.11890975789,721,41776,49447,13.7,73.9,12.5,0.3779
"412","ROCKINGHAM","2","9199","Yes","No","No","Yes","Yes","4775",NA,"4775","None","Curbside","None","None","No",NA,"No",4271.44,NA,669.87,0,0,"NC",1203.59848555373,3830,35909,49717,11.5,69.4,19,0.485
"413","ROCKWELL","2","2308","No","No","No","Yes","Yes","950",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",996.61,NA,NA,NA,NA,"NC",1358.84072935001,815,49750,58672,13.6,59.6,26.8,0.3413
"414","ROCKY MOUNT","2","54309","No","Yes","No","Yes","Yes","22833","22833","19470","Both","Curbside","None","Curbside","Yes",NA,"No",79848.14,2499.73,NA,NA,34309.26,"NC",1207.29496533694,22475,42691,58455,14.8,64.1,21.1,0.476
"415","ROLESVILLE","2","9639","No","No","No","No","Yes","3586","3586","3586","Curbside","Curbside","None","Curbside","Yes",NA,"No",3314.17,722.72,300,0,0,"NC",1976.58955957154,2595,126793,128752,3,34.6,62.5,0.3442
"416","RONDA","2","437","No","No","No","Yes","No","185","185",NA,"Curbside","Curbside","None","None","Yes",NA,"No",170.94,32.27,NA,NA,NA,"NC",403.12793215044,238,41250,54871,36.2,53.2,10.6,0.4217
"417","ROPER","2","482","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",562.77057482519,328,19609,25596,25,61.2,13.8,0.4422
"418","ROSE HILL","2","1359","Yes","No","No","No","Yes","625","80","625","Both","Curbside","None","Curbside","Yes",NA,"No",937.07,18.96,0,171.12,0,"NC",941.652853227504,703,38359,45346,18.9,70.1,10.9,0.3782
"419","ROSEBORO","2","1159","No","No","No","Yes","Yes","585","697","697","Dropoff","Curbside","None","Curbside","Yes",NA,"No",647.4,26.75,0,339.58,0,"NC",801.211406010001,450,34821,45204,21.4,62.8,15.7,0.4246
"420","ROSMAN","2","699","No","No","No","No","Yes","399",NA,NA,"None","Curbside","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",1280.31983150182,438,43281,36382,18.4,78.6,3.1,0.3243
"421","ROWLAND","2","880","No","No","No","Yes","Yes",NA,NA,NA,"Dropoff","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",836.321261952639,496,23000,33223,15.6,70.4,14,0.4506
"422","ROXBORO","2","8131","No","No","No","Yes","No","3495",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",7986,NA,NA,NA,2000,"NC",1156.48146886292,3455,32753,56421,21.4,65.4,13.3,0.5555
"423","ROXOBEL","2","186","No","No","No","No","Yes","87",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",178.344186726488,87,NA,46055,42.7,47.2,10.1,0.4691
"424","RURAL HALL","2","3357","No","No","No","Yes","No","1028","1028","1028","Curbside","Curbside","None","Curbside","Yes",NA,"No",955,118,NA,NA,NA,"NC",1177.16993466123,1440,49964,72473,10.3,70.6,19.1,0.4973
"425","RUTH","2","346","No","No","No","Yes","Yes","154","154",NA,"Curbside","Curbside","None","None","Yes",NA,"No",137.19,17.62,NA,NA,NA,"NC",815.338306049239,244,38750,43108,19.7,67.9,12.4,0.4231
"426","RUTHERFORD COLLEGE","2","1223","Yes","No","No","Yes","Yes","621","621",NA,"Curbside","Curbside","None","None","Yes",NA,"No",563.6,10.31,NA,NA,NA,"NC",532.336852979942,512,43400,53719,8.6,66.9,24.5,0.4425
"427","RUTHERFORDTON","2","3631","No","No","No","Yes","Yes","1400","1400","1400","Curbside","Curbside","None","Curbside","Yes",NA,"No",1512.54,306.45,7500,0,0,"NC",881.365524807745,1859,46144,59805,8.7,57.5,33.8,0.48
"428","SALEMBURG","2","455","No","Yes","No","No","Yes","252","252","252","Both","Curbside","None","Curbside","No",NA,"No",407.14,52.18,0,9.65,0,"NC",466.507313122674,177,38750,52110,0.8,70.5,28.8,0.4382
"429","SALISBURY","2","36215","Yes","No","Yes","Yes","Yes","11100","6650","11000","Curbside","Curbside","None","Curbside","Yes",NA,"No",9898.07,1622.79,1453.8,0,1436.843,"NC",1659.97033166738,12401,43364,63820,12.3,62.7,25.1,0.5042
