"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"226","HILLSBOROUGH","2","9681","Yes","No","No","Yes","No","2864",NA,"2864","None","Curbside","None","Curbside","Yes",NA,"No",1915,NA,1150,0,0,"NC",1707.59038301109,3014,65591,98419,9.1,34.3,56.8,0.478
"227","HOBGOOD","2","267","No","No","No","Yes","Yes","147",NA,"147","None","Curbside","None","Curbside","No",NA,"No",116.36,NA,NA,NA,197.6,"NC",258.293968388174,118,40909,45515,16.7,56.9,26.3,0.4161
"228","HOFFMAN","2","416","No","No","No","Yes","No","237",NA,"237","None","Curbside","None","Curbside","No",NA,"No",283.98,NA,10.08,0,0,"NC",122.27913144066,247,31042,47702,29.6,63.4,7,0.53
"229","HOLDEN BEACH","2","927","No","No","No","Yes","Yes","2542","600","2542","Curbside","Curbside","None","Curbside","Yes",NA,"No",695,NA,NA,NA,115.2,"NC",305.613703239984,469,101458,137469,2.9,34.4,62.7,0.4439
"230","HOLLY RIDGE","2","4177","No","No","No","Yes","Yes",NA,NA,NA,"Curbside","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",1044.689804447,996,79167,90435,9.1,50.2,40.7,0.3695
"231","HOLLY SPRINGS","2","41711","No","No","No","No","Yes","13498","13642","13642","Curbside","Curbside","None","Curbside","Yes",NA,"No",11014.09,1644.74,NA,NA,5638.75,"NC",2404.76702820551,11573,110758,132679,5.1,35.2,59.6,0.357
"232","HOOKERTON","2","412","No","No","No","Yes","Yes","160",NA,"160","None","Curbside","None","Curbside","Yes",NA,"No",223.57,NA,0,31.66,0,"NC",1292.97300026609,225,34539,44239,35.8,60.4,3.8,0.429
"233","HOPE MILLS","2","17811","Yes","No","No","No","Yes","5354","5354","5354","Curbside","Curbside","None","Curbside","Yes",NA,"No",4404.36,1028.36,0,1288.77,0,"NC",2212.47084705004,5910,47730,61652,6.5,71.4,22.1,0.4288
"234","HOT SPRINGS","2","519","No","No","No","Yes","No","350",NA,NA,"None","Curbside","None","None","No",NA,"No",90.87,NA,NA,NA,NA,"NC",181.01839040954,227,34271,41834,10.3,63.3,26.4,0.3827
"235","HUDSON","2","3774","No","Yes","No","Yes","Yes","1580",NA,"1580","None","Curbside","None","Curbside","Yes",NA,"No",1448.41,NA,151.3,0,23.47,"NC",1031.73053918854,1463,44016,54503,16.3,64.7,19,0.4253
"236","HUNTERSVILLE","2","61526","No","No","No","No","Yes","20401","20401","20401","Curbside","Curbside","None","Curbside","Yes",NA,"No",20713.99,5303.53,4889.04,0,0,"NC",1488.19764688692,20666,100789,122796,4.2,42,53.8,0.3925
"237","INDIAN BEACH","2","223","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",391.604801631666,86,90000,115449,0,31.5,68.4,0.3741
"238","INDIAN TRAIL","2","40167","No","No","No","Yes","Yes","13572","13572","13572","Curbside","Curbside","None","Curbside","Yes",NA,"No",13978.68,2237.11,835.74,0,0,"NC",1806.35177058518,12693,86512,108592,6.8,54.6,38.6,0.4031
"239","JACKSON","2","425","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",420.813473309809,283,40466,46647,16.3,73.3,10.3,0.4131
"240","JACKSONVILLE","2","72800","No","Yes","No","Yes","Yes","12899","12219","11600","Curbside","Curbside","None","Curbside","Yes",NA,"No",34908.89,2548.1,NA,NA,6200,"NC",1496.36629555027,21126,45754,59049,6.5,68.5,25,0.4102
"241","JAMESTOWN","2","3675","No","No","No","Yes","Yes","1440","1337","1440","Curbside","Curbside","None","Curbside","No",NA,"No",1060.28,285.35,910.38,0,0,"NC",1227.53998160568,1861,65945,99344,1.7,54,44.3,0.4707
"242","JAMESVILLE","2","422","No","No","No","Yes","No",NA,"205","205","None","Curbside","None",NA,"No",NA,"No",NA,NA,50.35,0,0,"NC",289.764448335142,265,38072,39742,9.1,62.2,28.8,0.4083
