"","State","GovUnit","Type","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","FoodWaste","Households","HHServedTrash","HHServedRecycling","HHServedYard","TrashServiceType","RecyclingServiceType","YardWasteServiceType","FoodService","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","TipFee","CurbsideFee","DropoffFee","PerHouseCharge","Population","PopulationDensity","MedIncome","AvgIncome","Gini","PctLessHS","PctHS","PctBachelororMore"
"59","RI","Coventry","Municipality",11536,6687,NA,NA,NA,NA,NA,13811,13811,NA,0,0,NA,0,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,1,NA,NA,588.315,84623,99319.2079627277,0.4178,6.86098304290068,65.2105962334922,27.9284207236071
"60","RI","Cranston","Municipality",26823,14974,NA,NA,NA,NA,NA,29205,29205,NA,-1,-1,NA,0,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,NA,0,0,NA,NA,2866.523,74425,89184.3568649959,0.4246,9.46773108953911,56.623618463024,33.9086504474369
"62","RI","Cumberland","Municipality",11263,6003,NA,NA,NA,NA,NA,12921,12921,NA,-1,-1,NA,1,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,1320.644,96936,111834.256812863,0.4227,9.55042625060318,47.6274730577449,42.8221006916519
"63","MA","Cummington","Municipality",190.27,86.98,NA,NA,NA,NA,426,295,295,NA,1,1,NA,0,0,0,1,1,0,1,1,0,1,0,0,1,1,NA,NA,NA,NA,43.72712,72250,77560.788863109,0.3702,1.42247510668563,41.1095305832148,57.4679943100996
"64","MA","Dalton","Municipality",440,243.85,NA,NA,0,NA,2552,665,665,NA,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,NA,NA,NA,NA,301.9258,73942,94896.7543005518,0.4102,4.92876395841355,52.8109356950327,42.2603003465537
"65","MA","Danvers","Municipality",6749.4,2645.33,NA,NA,NA,NA,15672,7738,7738,NA,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2074.743,99269,115626.783702591,0.4137,6.50085076568912,48.7638874987489,44.735261735562
"66","MA","Dartmouth","Municipality",5986.79,3900.44,NA,NA,1324.34,NA,11563,10125,10125,NA,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,NA,NA,NA,NA,559.0728,85783,106831.587477608,0.43,13.6589004431574,51.1868720108815,35.1542275459611
"67","MA","Dedham","Municipality",6840.28,2765.51,NA,NA,NA,NA,8700,8700,8700,NA,-1,-1,-1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2466.294,101780,133446.675557249,0.4509,5.06165526896775,39.5778364116095,55.3605083194227
"68","MA","Deerfield","Municipality",620.3,356.1,NA,NA,50,83,1762,1294,1294,NA,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,155.1997,87015,102581.125980618,0.3976,3.74263009484748,48.7310945911305,47.526275314022
"69","MA","Dighton","Municipality",2050.45,1077.74,NA,NA,5.4,NA,2885,2785,2785,NA,-1,-1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,356.091,96627,107960.962937305,0.3787,6.23450230251505,61.8490967056323,31.9164009918526
"70","MA","Douglas","Municipality",1313,370.62,NA,NA,NA,NA,3173,1320,1320,NA,1,1,NA,0,0,0,1,0,0,1,0,0,0,1,0,0,1,NA,NA,NA,NA,245.2383,114213,121848.990708106,0.3524,3.49864130434783,60.258152173913,36.2432065217391
"71","MA","Dover","Municipality",1304.5,737.4,NA,NA,NA,39.7,2150,2150,2150,NA,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,402.6896,250001,379359.811227024,0.4443,1.23552123552124,15.8815958815959,82.8828828828829
"72","MA","Dracut","Municipality",10522,3188.11,NA,NA,1010,NA,12213,10619,10679,NA,-1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1521.52,92685,103767.186966905,0.3868,8.09897735573411,60.1899196493791,31.7111029948868
"73","MA","Dudley","Municipality",662,170,NA,NA,NA,NA,3659,790,790,NA,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,561.5779,69659,86185.985864002,0.4255,8.06473184432259,64.5178547545807,27.4174134010967
"74","MA","Dunstable","Municipality",163.66,117.63,NA,NA,NA,NA,1124,313,313,NA,-1,-1,NA,0,1,1,0,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,205.0273,158523,170821.125541126,0.3467,2.16731686172518,41.048981361075,56.7837017771998
"75","MA","Duxbury","Municipality",2707,3030.39,NA,NA,3000,NA,6632,5998,5998,NA,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,NA,NA,NA,NA,671.3616,126889,178657.431034483,0.4573,4.69598262757872,26.5110387260224,68.7929786463988
"76","MA","East Bridgewater","Municipality",3024,1707.9,NA,NA,307.8,NA,4300,2800,2800,NA,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,NA,NA,NA,NA,841.9707,102669,134594.42743417,0.4657,4.17,67.03,28.8
"77","MA","East Brookfield","Municipality",645.68,106.22,NA,NA,NA,NA,974,940,940,NA,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,218.6774,75347,84483.5112692764,0.341,8.14676616915423,62.5621890547264,29.2910447761194
"78","RI","East Greenwich","Municipality",4671,2922,NA,NA,NA,NA,NA,4270,4270,NA,0,0,NA,0,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,799.9133,125299,166443.449092344,0.467,3.47443650357339,32.5233644859813,64.0021990104453
"79","MA","East Longmeadow","Municipality",4471.35,234309.97,NA,NA,4644.49,NA,5680,5680,5680,0,-1,-1,NA,0,1,0,1,1,1,0,0,1,0,0,0,1,1,NA,NA,NA,NA,1253.445,90579,115577.559875043,0.4413,6.39265254160225,50.4410293716468,43.1663180867509
"80","RI","East Providence","Municipality",14986,16811,NA,NA,NA,NA,NA,16840,16840,NA,-1,0,NA,NA,1,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,3571.299,63158,82656.0786471883,0.4714,14.9731280109159,53.9667511347498,31.0601208543343
"81","MA","Egremont","Municipality",511,411.34,NA,NA,0.18,0.5,875,875,875,NA,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,NA,NA,NA,NA,78.90363,73173,124589.26746167,0.4884,7.38963531669866,38.0998080614203,54.510556621881
"83","MA","Erving","Municipality",446.71,112.98,NA,NA,NA,NA,586,586,586,NA,-1,-1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,121.3001,64167,73883.734939759,0.4018,8.35486649440138,71.4900947459087,20.1550387596899
"84","MA","Everett","Municipality",16492.1,3003.79,NA,NA,NA,NA,15591,15000,15000,NA,-1,-1,-1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,13546.33,70627,83773.551871857,0.4241,16.2318929535969,60.0570832310336,23.7110238153695
"85","RI","Exeter","Municipality",1983,1035,NA,NA,NA,NA,NA,2248,2248,NA,0,0,NA,0,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,1,NA,NA,116.8071,83750,112462.538159616,0.3821,10.6873614190687,38.1374722838137,51.1751662971175
"86","MA","Fairhaven","Municipality",5604,1650.19,NA,NA,525,NA,6721,6513,6513,NA,-1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,1297.946,75645,99740.1802866854,0.4681,8.37537840565086,63.0171543895055,28.6074672048436
"87","MA","Fall River","Municipality",29133.35,9977.49,NA,NA,3969,NA,36724,31352,31352,NA,0,-1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2705.62,46007,61586.2925934537,0.4664,24.7251627068141,59.3413314514232,15.9335058417627
"88","MA","Falmouth","Municipality",13031.79,3535.85,NA,NA,NA,NA,21000,21000,21000,NA,0,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,705.9747,75548,112428.620467711,0.4922,5.30788177339901,45.320197044335,49.371921182266
"90","MA","Fitchburg","Municipality",13510.02,3368.86,NA,NA,460.36,NA,17012,13500,13500,NA,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,NA,NA,NA,NA,1458.292,54683,70600.7585985214,0.4277,12.6716064241923,65.9683303870313,21.3600631887765
"91","MA","Florida","Municipality",345.45,61.67,NA,NA,9.45,NA,350,191,191,NA,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,30.4581,70114,72569.1525423729,0.3475,8.74125874125874,73.2517482517483,18.006993006993
"92","RI","Foster","Municipality",1928,648,NA,NA,NA,NA,NA,1575,1575,NA,-1,-1,NA,NA,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,93.04142,96985,103340.824468085,0.3412,7.47896540978498,53.4746026799626,39.0464319102524
"93","MA","Framingham","Municipality",19047,6751.52,NA,NA,183.98,NA,26194,18355,18355,NA,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,2908.738,86322,115721.344318862,0.4549,9.22448505497909,41.0233080377884,49.7522069072325
"94","MA","Franklin","Municipality",7867.28,4284.67,NA,NA,243,NA,10010,9561,9405,NA,-1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,NA,NA,NA,NA,1262.96,118193,145174.899307234,0.4232,2.77752889526028,41.95860585969,55.2638652450497
"96","MA","Freetown","Municipality",1879.46,724.89,NA,NA,NA,NA,4261,2349,2349,NA,-1,-1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,271.6963,101574,116779.863582444,0.374,7.50728862973761,56.1953352769679,36.2973760932945
"99","MA","Gardner","Municipality",4946.13,1515.33,NA,NA,NA,NA,8228,6617,6617,NA,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,933.7255,51708,66011.9039250146,0.4235,10.9929078014184,70.1353965183752,18.8716956802063
"100","MA","Gill","Municipality",196.72,121.69,NA,NA,NA,NA,513,513,513,NA,-1,-1,NA,0,0,0,1,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,125.7765,68173,86053.807106599,0.4131,4.98866213151927,44.8979591836735,50.1133786848073
"101","RI","Glocester","Municipality",2742,1383,NA,NA,NA,NA,NA,4106,4106,NA,1,1,NA,0,0,1,0,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,NA,NA,188.1131,95000,104131.273308471,0.3612,3.76240352811466,63.2717750826902,32.9658213891951
"102","MA","Gloucester","Municipality",7112.63,3461.06,NA,NA,600,135.2,13825,12850,12850,NA,-1,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,1156.241,76260,98993.2662192394,0.4675,5.7406545023496,55.0696414207697,39.1897040768807
"104","MA","Goshen","Municipality",133.76,66.6,NA,NA,NA,NA,561,250,250,NA,1,1,NA,0,0,0,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,50.86443,91250,93316.3101604278,0.3395,1.30057803468208,54.1907514450867,44.5086705202312
"105","MA","Grafton","Municipality",3901.97,2436.25,NA,NA,NA,NA,6476,5154,5154,NA,-1,-1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,834.579,103383,125412.554052169,0.4317,4.66029887536589,43.4986904945309,51.8410106301032
"106","MA","Granby","Municipality",2024.3,531.27,NA,NA,9.99,NA,3079,3079,3079,NA,-1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,226.8703,101886,112556.965944272,0.4077,4.75792988313856,54.2570951585977,40.9849749582638
"107","MA","Granville","Municipality",171.1,108.06,NA,NA,NA,NA,562,450,500,NA,1,1,NA,0,0,0,0,0,0,1,1,1,0,0,0,1,1,NA,NA,NA,NA,40.24456,91071,100093.167701863,0.3568,4.43388756927949,59.3824228028504,36.1836896278702
"109","MA","Greenfield","Municipality",3960,2007.27,NA,NA,31.91,NA,5604,5059,5059,NA,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,810.4137,46250,64011.6607340125,0.4638,9.60365853658537,57.1951219512195,33.2012195121951
"110","MA","Hadley","Municipality",275.7,184.2,NA,NA,NA,NA,2208,550,550,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,230.8116,86690,132380.09751773,0.5033,3.89805097451274,40.6046976511744,55.4972513743128
"111","MA","Halifax","Municipality",663.37,375.75,NA,NA,NA,NA,3600,2723,3600,NA,-1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,NA,NA,NA,NA,490.173,97844,109331.988969321,0.3883,3.92232263026341,62.9686598731013,33.1090174966353
"112","MA","Hamilton","Municipality",1678.79,1221.6,NA,NA,NA,286.49,2655,2655,2655,NA,-1,-1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,567.6848,115203,142625.147058824,0.452,1.15300146412884,26.7203513909224,72.1266471449487
"113","MA","Hancock","Municipality",281.09,87.3,NA,NA,5.4,NA,315,250,250,NA,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,18.41149,64375,97492.5490196078,0.4677,1.66320166320166,60.0831600831601,38.2536382536383
"114","MA","Hanover","Municipality",5374.38,1550.11,NA,NA,1500,NA,5000,5000,5000,NA,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,934.8975,133922,167440.338837658,0.4458,3.64191473121797,48.1517827935885,48.2063024751935
"115","MA","Hanson","Municipality",748,593.92,NA,NA,1000,NA,3815,2000,2000,NA,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,NA,NA,NA,NA,724.0082,100455,123049.199380165,0.4025,6.29165555851773,60.0506531591576,33.6576912823247
"117","MA","Harvard","Municipality",864.84,604.07,NA,NA,NA,NA,1966,1250,1250,NA,1,1,NA,0,0,0,0,1,0,1,1,0,0,1,0,1,1,NA,NA,NA,NA,249.3122,170250,209736.716583472,0.4156,3.31098072087175,33.1098072087175,63.5792120704107
"118","MA","Haverhill","Municipality",22104,8493.18,NA,NA,540,0,21300,20928,20928,NA,-1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1930.694,69237,88149.9268649439,0.4316,9.69121140142518,60.8913018889266,29.4174867096482
"119","MA","Hawley","Municipality",NA,NA,NA,NA,NA,NA,166,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,13.80886,62417,120700,0.5425,8.70870870870871,51.3513513513513,39.9399399399399
"120","MA","Heath","Municipality",137.64,90.72,NA,NA,NA,NA,381,327,327,NA,1,1,NA,0,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,26.94546,92650,92790.3333333333,0.3566,5.83804143126177,53.6723163841808,40.4896421845574
"121","MA","Hingham","Municipality",6803.8,3194.33,NA,NA,3453.25,NA,7555,7555,7555,NA,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,1080.287,147520,208082.951430764,0.5138,2.10048931853443,25.9756534192624,71.9238572622031
"122","MA","Hinsdale","Municipality",409.65,111,NA,NA,NA,NA,743,619,619,NA,1,1,NA,0,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,83.02055,64539,76690.2834008097,0.3736,9.15080527086384,65.2269399707174,25.6222547584187
"123","MA","Holden","Municipality",4629.87,2144.05,NA,NA,NA,NA,7621,5980,5980,NA,-1,-1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,545.2208,111960,131455.356133409,0.3887,2.51090867335222,40.3812294266248,57.107861900023
"125","MA","Holliston","Municipality",3532,2038.63,NA,NA,64,NA,5197,4834,4834,NA,-1,-1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,792.9824,137589,176854.32868672,0.4274,3.22327044025157,31.0731132075472,65.7036163522013
"126","MA","Holyoke","Municipality",7807,948,NA,NA,NA,NA,16200,9950,9950,NA,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1897.535,42537,61102.3667873771,0.5013,21.3647110979755,56.6055859317275,22.029702970297
"127","MA","Hudson","Municipality",911.43,951.17,NA,NA,193.86,NA,6969,1710,1710,NA,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1723.14,96038,116165.813387943,0.4019,9.82074884075023,44.1553048653886,46.0239462938612
"128","MA","Hull","Municipality",NA,NA,NA,NA,0,0,10400,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,3648.628,105403,129331.38832998,0.4244,3.03569311039962,46.7923633345192,50.1719435550812
"129","MA","Huntington","Municipality",402.92,153,NA,NA,NA,NA,955,462,462,NA,1,1,NA,0,0,0,1,1,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,82.4632,70000,81291,0.3671,7.17377860235003,61.038961038961,31.7872603586889
"130","MA","Ipswich","Municipality",3120.75,1949.37,NA,NA,356.4,287.91,6401,5067,5169,NA,-1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,436.7578,103941,155372.51017159,0.5335,2.65731502519016,41.0550232144621,56.2876617603477
"131","RI","Jamestown","Municipality",2206,1530,NA,NA,NA,NA,NA,960,960,NA,0,-1,NA,1,0,1,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,1,NA,NA,581.5181,119375,161626.93757855,0.4392,2.96045197740113,37.0847457627119,59.954802259887
"132","RI","Johnston","Municipality",17351,3570,NA,NA,NA,NA,NA,10484,10484,NA,-1,-1,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,1249.116,68859,82844.8009712948,0.3912,7.19597452910006,66.4514405307922,26.3525849401078
"133","MA","Kingston","Municipality",3181,1743.07,NA,NA,500,NA,4751,2953,3046,NA,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,NA,NA,NA,NA,737.2822,95197,114010.985861674,0.4037,2.83937823834197,54.3212435233161,42.839378238342
"135","MA","Lakeville","Municipality",988.62,334.55,NA,NA,NA,NA,4499,1342,1342,NA,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,NA,NA,NA,NA,388.1815,109323,123741.176470588,0.3734,6.55838562815307,57.573520364218,35.8680940076289
"137","MA","Lanesborough","Municipality",NA,4575.2,NA,NA,NA,NA,1322,0,1322,NA,NA,1,NA,0,0,0,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,102.6213,72981,86037.3775433308,0.3937,2.75988960441582,52.851885924563,44.3882244710212
"138","MA","Lawrence","Municipality",29650,4424,NA,NA,NA,NA,30000,21723,21723,NA,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,11546.26,45045,61681.3302700463,0.4729,31.5936326956661,55.8985888351366,12.5077784691973
"139","MA","Lee","Municipality",NA,NA,NA,NA,NA,NA,2265,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,218.1949,78750,90931.6003616637,0.395,4.71720253461629,61.910349683173,33.3724477822107
"140","MA","Leicester","Municipality",NA,263.25,NA,NA,60,NA,3603,0,3603,NA,NA,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,486.3936,84236,102780.260570305,0.3847,6.2934411727537,66.4097055478327,27.2968532794136
"141","MA","Leominster","Municipality",10254,3265,NA,NA,0,NA,14941,11546,11546,NA,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1442.631,63119,85838.0969204499,0.4479,11.3372876786196,58.8804259908331,29.7822863305473
"142","MA","Leverett","Municipality",287.86,188.69,NA,NA,1,42,719,651,651,NA,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,82.27161,93942,131693.672627235,0.4642,4.88485694347523,28.053035589672,67.0621074668528
"143","MA","Lexington","Municipality",9002,6862,NA,NA,3543,687,12463,11046,11505,NA,-1,-1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,NA,NA,NA,NA,2026.529,185686,243311.692873871,0.4514,1.44397974906449,13.6517719568567,84.9042482940788
"146","MA","Lincoln","Municipality",896,565.62,NA,NA,NA,42,1934,1934,1934,NA,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,NA,NA,NA,NA,482.6525,140888,230433.78746594,0.5364,0.984251968503937,22.9440069991251,76.071741032371
"147","RI","Lincoln","Municipality",7730,2935,NA,NA,NA,NA,NA,6000,6000,NA,-1,-1,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,1205.739,88171,109062.416522384,0.4305,8.44456191357209,47.0265627064887,44.5288753799392
"148","RI","Little Compton","Municipality",1896,819,NA,NA,NA,NA,NA,2502,2502,NA,0,0,NA,0,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,1,NA,NA,170.1536,105750,181598.457583548,0.5529,1.80420982292015,41.2629468760441,56.9328433010358
"149","MA","Littleton","Municipality",6731.79,1022.8,NA,NA,130,NA,3102,1751,1751,NA,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,614.693,125275,153195.487003713,0.4088,3.76427463696602,41.3788241928662,54.8569011701678
"151","MA","Longmeadow","Municipality",3797.41,1882.67,NA,NA,319.57,NA,5779,5534,5534,NA,-1,-1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,NA,NA,NA,NA,1731.235,124410,166815.324130701,0.4516,4.05454878272012,35.118066996156,60.8273842211239
"152","MA","Lowell","Municipality",26191.81,6936.75,NA,NA,261.63,0,38000,25000,25000,NA,-1,-1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,8178.301,62196,78634.2300049677,0.4613,17.1491989963328,55.5284418341743,27.3223591694929
"153","MA","Ludlow","Municipality",5452,1620,NA,NA,2276,NA,7156,7080,7080,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,780.384,73516,88252.2743682311,0.4061,15.309163148746,62.4410230941147,22.2498137571393
"154","MA","Lunenburg","Municipality",1901.44,1108.82,NA,NA,129,NA,4244,3644,4244,NA,-1,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,436.9406,99601,114751.128512206,0.3841,4.01725200246457,57.1903881700554,38.79235982748
"156","MA","Lynn","Municipality",29113.74,7665.73,NA,NA,583.74,NA,33122,27000,27000,NA,-1,-1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,8771.502,61329,74908.3160458194,0.4575,23.4505943476652,57.097588830446,19.4518168218887
"157","MA","Lynnfield","Municipality",4870.9,1333.91,NA,NA,14.58,NA,4590,4350,4350,NA,-1,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1315.683,145594,183852.455752212,0.4661,2.7027027027027,37.8378378378378,59.4594594594595
"158","MA","Malden","Municipality",12826.55,4286.42,NA,NA,1760,NA,25000,17100,17100,NA,-1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,NA,NA,NA,NA,12034.9,73399,93786.3825052424,0.4619,11.9967113526846,47.3565213419508,40.6467673053646
"159","MA","Manchester","Municipality",1154.81,998.73,NA,NA,NA,216.88,2413,2413,2413,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,585.0793,178250,204481.766917293,0.4146,0,25.5605381165919,74.4394618834081
"160","MA","Mansfield","Municipality",5307,2550.4,NA,NA,NA,NA,7912,6831,6831,0,-1,-1,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,1201.005,120694,145496.638655462,0.4153,3.8070915246184,43.2678030528004,52.9251054225812
"161","MA","Marion","Municipality",1549.42,541.74,NA,NA,39.78,NA,2773,2773,2773,0,0,0,NA,0,1,1,0,0,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,364.3819,85636,130376.464542652,0.473,6.25166267624368,48.1511040170258,45.5972333067305
"162","MA","Marlborough","Municipality",9194.21,3146.73,NA,NA,NA,NA,12000,12000,12000,NA,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,1901.4,83469,102668.792071803,0.4218,9.05239765269627,50.5573110177437,40.39029132956
"163","MA","Marshfield","Municipality",6141,7165.63,NA,NA,164,NA,9650,9524,9524,NA,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,905.3747,105067,126145.836284529,0.4251,2.61903457344803,47.887786970577,49.493178455975
"164","MA","Mashpee","Municipality",4052.37,1202.01,NA,NA,129.6,12.45,7074,4624,5124,NA,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,NA,NA,NA,NA,607.0388,78309,99605.7234432234,0.4517,1.84604355228963,58.7149386145712,39.4390178331392
"165","MA","Mattapoisett","Municipality",2200,1621.48,NA,NA,108,NA,3600,3600,3600,NA,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,367.5946,90747,139473.091537133,0.4604,2.64981655116184,42.8047289033836,54.5454545454545
"166","MA","Maynard","Municipality",2385.26,1042.73,NA,NA,51.84,NA,4166,4166,4166,NA,-1,-1,-1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,2092.406,107891,133920.046674446,0.4266,3.17624273724984,40.0903808908974,56.7333763718528
"167","MA","Medfield","Municipality",2915,1190.85,NA,NA,1972,26.25,4424,3519,3519,NA,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,897.0605,174417,232474.782209995,0.4505,0.833836858006042,23.8066465256798,75.3595166163142
"168","MA","Medford","Municipality",16535,5661,NA,NA,2289,0,21322,19500,19500,NA,-1,-1,-1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,7196.447,101168,125515.499642962,0.4435,6.67949357466923,38.6256205610585,54.6948858642723
"169","MA","Medway","Municipality",3763.32,1863.22,NA,NA,459,NA,4458,4176,4176,0,0,0,NA,0,0,1,1,1,0,1,1,0,1,0,0,1,1,NA,NA,NA,NA,1161.338,139688,163386.502546689,0.4179,4.2671009771987,36.0477741585233,59.685124864278
"170","MA","Melrose","Municipality",7200,3239.03,NA,NA,990,26.7,11514,8905,8905,NA,-1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,5990.301,114604,138913.712404342,0.4432,4.63765309580288,34.230527182069,61.1318197221281
"171","MA","Merrimac","Municipality",620.58,565.05,NA,NA,75.06,NA,3178,1288,1918,NA,-1,-1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,NA,NA,NA,NA,814.9415,79909,101765.5,0.3871,5.35536531953016,57.3163448138563,37.3282898666136
"172","MA","Methuen","Municipality",19379.11,4445.54,NA,NA,NA,NA,17907,14221,14221,NA,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,NA,NA,NA,NA,2274.32,83527,101883.396740673,0.4268,10.6703146374829,59.7697218422253,29.5599635202918
