"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","Trash Service Type","Provide Trash Bins","Recycling Service Type","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Private Hauler regulations that require recycling","Swap-Shop","Compost Bin Distribution Program"
"152","Lawrence","30000",21723,0.7241,29650,4424,NA,NA,"Curbside","Yes","Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Lee","2265",0,0,0,0,NA,NA,"None",NA,"None",NA,"None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA
"154","Leicester","3603",0,0,0,263.25,NA,"60","None",NA,"Drop-off",NA,"None","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,"Yes",NA
"156","Leominster","14941",11546,0.772772906766615,10254,3265,NA,"0","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"157","Leverett","719",651,0.905424200278164,287.86,188.69,"42","1","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes","Yes"
"158","Lexington","12463",11046,0.88630345823638,9002,6862,"687","3543","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","No","Yes",NA,"Yes"
"160","Lincoln","1934",1934,1,896,565.62,"42",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","Yes",NA,"Yes","Yes"
"161","Littleton","3102",1751,0.564474532559639,6731.79,1022.8,NA,"130","Drop-off",NA,"Drop-off",NA,"None","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,"Yes",NA
"162","Longmeadow","5779",5534,0.957605121993425,3797.41,1882.67,NA,"319.57","Curbside","Yes","Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes","Yes","Yes"
"163","Lowell","38000",25000,0.657894736842105,26191.81,6936.75,"0","261.63","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,NA,"Yes","Yes",NA,NA,"Yes"
"164","Ludlow","7156",7080,0.989379541643376,5452,1620,NA,"2276","Both",NA,"Both",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,NA
"165","Lunenburg","4244",3644,0.858623939679548,1901.44,1108.82,NA,"129","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"166","Lynn","33122",27000,0.81516816617354,29113.74,7665.73,NA,"583.74","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"Yes","Yes","Yes",NA,NA,"Yes"
"167","Lynnfield","4590",4350,0.947712418300654,4870.9,1333.91,NA,"14.58","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"168","Malden","25000",17100,0.684,12826.55,4286.42,NA,"1760","Curbside",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",NA,NA
"169","Manchester","2413",2413,1,1154.81,998.73,"216.88",NA,"Both",NA,"Both",NA,"Both","Both","Neither","Recycling","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,NA
"170","Mansfield","7912",6831,0.863372093023256,5307,2550.4,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"171","Marblehead","8000",8000,1,4658.4,2976.39,"3765","1211.1099999999999","Both",NA,"Both",NA,"Both","Both","Both","Recycling","Both","Yes",NA,"Yes",NA,NA,"Yes","No",NA,"Yes","Yes"
"172","Marion","2773",2773,1,1549.42,541.74,NA,"39.78","Both","Yes","Both","Yes","None","Both","Both","Recycling","Neither","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA
"173","Marlborough","12000",12000,1,9194.21,3146.73,NA,NA,"Both","Yes","Both","Yes","Drop-off","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes",NA
"174","Marshfield","9650",9524,0.986943005181347,6141,7165.63,NA,"164","Both",NA,"Both","Yes","None","Both","Both","Both","Neither",NA,"Yes","Yes",NA,NA,NA,NA,NA,"Yes","Yes"
"175","Mashpee","7074",4624,0.653661294882669,4052.37,1202.01,"12.45","129.6","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Neither","Neither","Yes",NA,"Yes","Yes",NA,NA,NA,"Yes",NA,"Yes"
"176","Mattapoisett","3600",3600,1,2200,1621.48,NA,"108","Both","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Maynard","4166",4166,1,2385.26,1042.73,NA,"51.84","Curbside",NA,"Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"178","Medfield","4424",3519,0.795433996383363,2915,1190.85,"26.25","1972","Drop-off",NA,"Drop-off",NA,"Drop-off","Neither","Neither","Neither","Neither","Yes","Yes",NA,NA,NA,NA,NA,NA,"Yes","Yes"
"179","Medford","21322",19500,0.914548353812963,16535,5661,"0","2289","Curbside","Yes","Curbside","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA
"180","Medway","4458",4176,0.936742934051144,3763.32,1863.22,NA,"459","Both",NA,"Both","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes","Yes","Yes"
"181","Melrose","11514",8905,0.773406287997221,7200,3239.03,"26.7","990","Curbside",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes"
"183","Merrimac","3178",1288,0.405286343612335,620.58,565.05,NA,"75.06","Curbside",NA,"Curbside","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,NA
"184","Methuen","17907",14221,0.794158708884794,19379.11,4445.54,NA,NA,"Both",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,"Yes"
"185","Middleborough","7362",6395,0.86864982341755,5145,2159.83,NA,"370","Both","Yes","Both","Yes","None","Both","Neither","Neither","Neither",NA,"Yes","Yes",NA,"Yes",NA,NA,"Yes",NA,"Yes"
"186","Middlefield","269",164,0.609665427509294,141.69,50.99,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,NA,"Yes","No",NA,"Yes","Yes"
"188","Milford","11500",9000,0.782608695652174,9987,3300,NA,NA,"Curbside",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","No",NA,NA,"Yes"
"190","Millis","3656",945,0.258479212253829,462.09,287.53,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Recycling","Neither","Neither",NA,NA,"Yes",NA,NA,"Yes","No",NA,NA,NA
"192","Milton","9555",8937,0.935321821036107,6967.34,3914.96,NA,"373.03","Curbside","Yes","Both","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"193","Monroe","73",73,1,53.83,26.45,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Neither","Both","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"194","Monson","2962",2689,0.907832545577313,2543.97,442.12,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,NA,"Yes",NA,"Yes","Yes","Yes"
"195","Montague","2625",2625,1,1609.97,595.53,NA,"100","Curbside",NA,"Both",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA,"Yes"
"196","Monterey","902",600,0.665188470066519,353.17,288.65,NA,NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,NA,"Yes","No",NA,"Yes","Yes"
"198","Mount Washington","146",146,1,46.38,27.47,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Both",NA,"Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA
"200","Nantucket","9293",9293,1,11109.75,11757.12,"7332.44","13837.54","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Both","Yes",NA,NA,NA,NA,"Yes","Yes","Yes","Yes",NA
"201","Natick","13440",10600,0.788690476190476,6092.04,5373.35,NA,"334.8","Curbside",NA,"Both","Yes","Curbside","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"202","Needham","8402",5400,0.642704118067127,3259,8453.61,"0","88.56","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes","Yes","Yes"
"203","New Ashford","95",0,0,0,1468.73,NA,NA,"None",NA,"Drop-off",NA,"None","Recycling","Neither","Recycling","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"204","New Bedford","38888",36394,0.935867105533841,32831.37,8912.67,NA,"5237.54","Curbside","Yes","Both","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Yes"
"206","New Marlborough","940",455,0.484042553191489,262.87,241.3,"262.87",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Both","Both",NA,NA,"Yes",NA,NA,NA,NA,NA,"Yes",NA
"207","New Salem","426",228,0.535211267605634,186.01,105.78,"4",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes","Yes"
"209","Newburyport","9950",7514,0.755175879396985,5641.58,2620.1,"227.18","487.08","Curbside",NA,"Both","Yes","Both","Both","Both","Both","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,"Yes",NA
"210","Newton","33500",28500,0.850746268656716,18690.06,10337.24,NA,"1949.4","Curbside","Yes","Both","Yes","Drop-off","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes"
"211","Norfolk","3869",1270,0.32825019384854,916,424.87,NA,"455","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA
"212","North Adams","5366",5366,1,4718,170.24,NA,"249","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Both",NA,NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA
"213","North Andover","11607",8311,0.71603342810373,8864,2729.19,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","North Attleborough","11071",9002,0.813115346400506,5369.13,3098.89,NA,"675","Both",NA,"Both","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes","Yes","Yes","Yes",NA,NA
"215","North Brookfield","2053",1077,0.52459814905017,640,182.7,NA,"110","Drop-off",NA,"Drop-off",NA,"None","Both","Recycling","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","Yes","Yes","Yes",NA
"216","North Reading","5370",4363,0.812476722532588,4523,288.3,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"217","Northampton","12065",3003,0.24890178201409,907.28,884.74,"201.37","262","Drop-off",NA,"Drop-off",NA,"Drop-off","Neither","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes","Yes","No","Yes","Yes","Yes"
"218","Northborough","5949",4953,0.832576903681291,2097,1174.86,NA,"461.97","Curbside",NA,"Curbside",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",NA,"Yes"
"220","Northfield","1145",825,0.720524017467249,393.64,269.01,"63",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes","Yes"
"222","Norwell","3680",3567,0.96929347826087,2806,1750.3,NA,"311.04000000000002","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA
"223","Norwood","13381",9639,0.720349749645019,10616.97,3722.99,"12","164.7","Curbside","Yes","Both","Yes","Drop-off","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"224","Oak Bluffs","3035",1894,0.624052718286656,759.33,261.87,"6.1",NA,"Both",NA,"Drop-off",NA,"Drop-off","Both","Trash","Neither","Neither",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes"
"225","Oakham","810",0,0,0,0,NA,NA,"None",NA,"None",NA,"None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Orange","2475",1170,0.472727272727273,734.71,297.18,"8","100","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes","Yes","Yes"
"227","Orleans","5362",3825,0.713353226408057,1914,1354.08,NA,"620","Drop-off",NA,"Drop-off",NA,"None","Recycling","Recycling","Recycling","Recycling","Yes","Yes",NA,"Yes",NA,"Yes","No",NA,"Yes","Yes"
"228","Otis","1701",1200,0.705467372134039,853.56,479.61,NA,"3.88","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Both","Yes","Yes",NA,NA,NA,"Yes","Yes",NA,NA,NA
"230","Palmer","4255",0,0,0,95,NA,NA,"None",NA,"Drop-off",NA,"None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA
"231","Paxton","1592",1592,1,1524.35,165.85,NA,NA,"Curbside",NA,"Both","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,NA,"Yes",NA,NA,"Yes","Yes"
"232","Peabody","17394",14000,0.804875244337128,16398.69,3668.52,NA,"1155.29","Both",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA
"234","Pembroke","6686",6544,0.978761591384984,5803.99,2216.27,NA,"900","Curbside","Yes","Both","Yes","None","Both","Recycling","Neither","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,"Yes",NA
"235","Pepperell","4647",1405,0.302345599311384,908.71,889.97,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Both",NA,NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA
"236","Peru","380",335,0.881578947368421,207.53,66,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,NA,"Yes"
"237","Petersham","495",294,0.593939393939394,216.76,130,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Recycling","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes",NA
"238","Phillipston","803",392,0.488169364881694,192.63,92.49,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes",NA,NA,NA,"Yes",NA
"239","Pittsfield","13741",13617,0.990975911505713,17440,1962.92,NA,NA,"Both",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"240","Plainfield","312",216,0.692307692307692,106.21,53.13,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,NA,NA,NA,"Yes","Yes","No",NA,NA,"Yes"
"241","Plainville","4043",2389,0.590897848132575,1569,859.59,NA,"441","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes"
"242","Plymouth","32340",4355,0.134662956091528,2519.61,1275.2,NA,"1000","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",NA,"Yes"
"244","Princeton","1257",0,0,0,28.91,NA,NA,"None",NA,"None",NA,"None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes"
"245","Provincetown","2556",2556,1,2432,1180.34,NA,"17.28","Both",NA,"Both",NA,"None","Both","Both","Neither","Both","Yes",NA,"Yes","Yes",NA,"Yes","Yes","Yes","Yes",NA
"246","Quincy","45000",33500,0.744444444444444,32467.65,5742.78,NA,"1182.5999999999999","Curbside",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"247","Randolph","12253",9526,0.777442259038603,11105,2556,NA,"1469","Curbside",NA,"Curbside","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"248","Raynham","4562",1190,0.26085050416484,742.06,796.1,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA
"249","Reading","8895",8293,0.932321528948848,7585.39,2805.72,NA,"4123.7","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA
"251","Revere","27269",20452,0.750009167919616,18989.65,3697.73,NA,"760.67","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,NA
"253","Rochester","1984",1984,1,2313.87,589.43,"0","0","Both","Yes","Both","Yes","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,NA,NA,NA,"Yes",NA,"Yes"
"254","Rockland","5445",5075,0.932047750229568,4554,1386.86,NA,"500","Curbside","Yes","Both","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,NA,"Yes",NA,"Yes","Yes","Yes"
"255","Rockport","4922",3125,0.634904510361642,2090.93,1032.18,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes","Yes","No",NA,"Yes",NA
"256","Rowe","216",184,0.851851851851852,127.87,68.35,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes","Yes"
"258","Royalston","562",385,0.685053380782918,248.5,229.47,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Both","Yes",NA,"Yes",NA,"Yes",NA,NA,NA,"Yes","Yes"
"259","Russell","563",420,0.746003552397869,245.37,84.86,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,"Yes","Yes",NA,NA,NA,NA
"261","Salem","20981",17000,0.810256899099185,12004.11,4117.21,"190.04","585.29","Curbside","Yes","Curbside","Yes","Drop-off","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes","Yes","Yes",NA,"Yes"
"264","Sandwich","8500",5000,0.588235294117647,3219,2402.19,NA,"11253","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Both",NA,NA,NA,"Yes","Yes",NA,NA,"Yes",NA,NA
"265","Saugus","10662",8758,0.82142187206903,9793.74,2435.41,NA,"248.4","Curbside",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes","Yes",NA,NA,NA
"266","Savoy","293",164,0.559726962457338,100.17,36.98,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes","No",NA,"Yes","Yes"
"267","Scituate","7850",5237,0.667133757961783,5497,5194.74,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes","Yes","No",NA,"Yes",NA
"268","Seekonk","5306",5146,0.969845457972107,3230.86,1541.85,NA,"135","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,"Yes","Yes","Yes","No","Yes",NA,NA
"269","Sharon","6686",5376,0.804068202213581,4692.08,2557.64,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA
"270","Sheffield","1703",849,0.498532002348796,636.68,237.56,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,"Yes",NA
"271","Shelburne","607",503,0.828665568369028,257.69,123.42,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,"Yes","Yes"
"272","Sherborn","1456",1456,1,1598.31,721.15,"38.25",NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Recycling","Both","Neither","Yes",NA,NA,NA,NA,"Yes","No",NA,"Yes","Yes"
"273","Shirley","2500",1654,0.6616,1130.94,362.85,NA,"25","Curbside","Yes","Curbside","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","No","Yes",NA,NA
"274","Shrewsbury","13072",10158,0.777080783353733,6448.68,2895.32,NA,"966.46","Curbside",NA,"Curbside",NA,"None","Both","Both","Both","Both","Yes",NA,NA,NA,"Yes","Yes","No",NA,NA,NA
"275","Shutesbury","814",810,0.995085995085995,353.93,197.02,NA,NA,"Curbside",NA,"Curbside",NA,"None","Both","Both","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,"Yes","Yes"
"276","Somerset","6944",6944,1,4089.74,2479,NA,NA,"Both",NA,"Curbside","Yes","None","Both","Both","Both","Neither","Yes",NA,"Yes",NA,"Yes",NA,NA,NA,NA,NA
"277","Somerville","28000",26250,0.9375,18846.21,7692.92,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"278","South Hadley","7190",6507,0.905006954102921,2881.91,2130.46,NA,"280.8","Both",NA,"Both",NA,"None","Both","Both","Both","Both",NA,"Yes",NA,NA,NA,"Yes","No","Yes","Yes",NA
"279","Southampton","2275",976,0.429010989010989,689.48,383.66,"0","54","Drop-off",NA,"Drop-off",NA,"None","Both","Both","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes","Yes",NA
"281","Southbridge","7303",6587,0.901958099411201,5136,1266,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,"Yes",NA,"Yes"
"282","Southwick","3536",2012,0.569004524886878,2259,1095.25,NA,"180","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,NA,"Yes","No","Yes",NA,NA
"283","Spencer","3796",1812,0.477344573234984,1228,521,NA,NA,"Drop-off",NA,"None",NA,"Drop-off","Neither","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,"Yes","Yes",NA
"284","Springfield","61000",40000,0.655737704918033,45840.04,8579.57,NA,"9433.4","Curbside","Yes","Both","Yes","None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,NA,"Yes","Yes","Yes",NA,NA
"285","Sterling","3400",3200,0.941176470588235,2302.2,955.22,NA,NA,"Curbside",NA,"Both",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,"Yes","Yes"
"287","Stoneham","9500",6700,0.705263157894737,6272.7,2166.93,NA,"1800","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA
"290","Sturbridge","3751",1882,0.501732871234338,570,463.22,"0","13.5","Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Both","Neither","Yes",NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA
"291","Sudbury","6588",894,0.135701275045537,679.49,442.84,NA,"1.1299999999999999","Drop-off",NA,"Drop-off",NA,"None","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,"Yes",NA
"292","Sunderland","896",0,0,0,0,NA,NA,"None",NA,"None",NA,"None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Sutton","3690",1217,0.329810298102981,565,328.37,"1.5","5.72","Drop-off",NA,"Drop-off",NA,"Drop-off","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"294","Swampscott","5745",5125,0.892080069625762,4000.73,1931.14,"74.5",NA,"Curbside","Yes","Curbside",NA,"Both","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Swansea","6448",6137,0.951767990074442,3875.8,2211.11,NA,NA,"Curbside",NA,"Curbside","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,NA,NA
"296","Taunton","20408",16709,0.8187475499804,12777.28,5065.96,NA,"2245.2399999999998","Both",NA,"Both","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes",NA,NA,"Yes"
"298","Tewksbury","10056",10056,1,10008,2845.38,NA,"654","Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes"
"299","Tisbury","2511",956,0.380724810832338,1278,1604,NA,NA,"Drop-off",NA,"Drop-off",NA,"Drop-off","Trash","Neither","Neither","Neither","Yes",NA,"Yes",NA,NA,NA,NA,NA,NA,NA
"301","Topsfield","2161",2161,1,1896.06,386.03,"11.25","162","Curbside",NA,"Curbside",NA,"None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,NA,NA
"302","Townsend","3615",3450,0.954356846473029,2395.91,979.21,NA,"3","Curbside",NA,"Both",NA,"None","Both","Neither","Recycling","Recycling","Yes",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes"
"303","Truro","3348",1834,0.54778972520908,1104.99,586.18,"480","54","Drop-off",NA,"Drop-off",NA,"Drop-off","Both","Both","Both","Both","Yes","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes","Yes"
"304","Tyngsborough","4387",3791,0.864144062001368,3822,1080.98,NA,NA,"Curbside","Yes","Curbside","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes"
"305","Tyringham","277",204,0.736462093862816,160.92,75.06,NA,NA,"Drop-off",NA,"Drop-off",NA,"None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA
"306","Upton","3100",2384,0.769032258064516,1512.48,962.91,"0","0","Curbside","Yes","Curbside",NA,"None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",NA,NA
