"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","E-Waste","C&D","Trash Service Type","Provide Trash Bins","Recycling Service Type","Recycling Collection Frequency","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Compost Bin Distribution Program","diversion"
"31","Berlin","1470",720,0.489795918367347,659,237,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Trash","Neither","Neither","Neither","Yes","Yes",NA,NA,"No","Yes","No","Yes",0.264508928571429
"32","Bernardston","801",650,0.811485642946317,417.22,211.85,"52",NA,"5.0599999999999996",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Both","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.336766973468771
"33","Beverly","14000",12625,0.901785714285714,12612.2,3208.05,"347.73","1000","8.5",NA,"Curbside","Yes","Curbside","Weekly","No","None","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes",NA,NA,0.202781245555538
"34","Billerica","15243",13603,0.892409630650134,13363,4696,NA,"955","39",NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.260036546874135
"35","Blackstone","3573",3573,1,2438.24,248.28,NA,"54","0.02","12","Curbside",NA,"Both","Bi-weekly","No","None","Both","Both","Neither","Recycling","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.0924169557643345
"37","Bolton","2146",2146,1,700.27,556.94,NA,NA,"19.09",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.442996794489385
"38","Boston","322000",272500,0.846273291925466,199250,44933,NA,"1150.79","275","0","Curbside",NA,"Curbside","Weekly","Yes","Drop-off","Recycling","Recycling","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.18401362912242
"39","Bourne","8149",8149,1,7348.34,8790.83,NA,"3667.4","69.709999999999994",NA,"Both","Yes","Both","Weekly","Yes","None","Both","Both","Recycling","Both",NA,NA,"Yes",NA,"No","Yes","No","Yes",0.544689101112387
"40","Boxborough","2020",933,0.461881188118812,733.9,590.82,NA,NA,"13.2",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"No",NA,NA,NA,0.445996135032309
"41","Boxford","2760",2597,0.940942028985507,2008,1282,NA,NA,NA,NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Recycling","Recycling","Yes",NA,NA,NA,"Yes","Yes",NA,NA,0.389665653495441
"43","Braintree","12300",10373,0.843333333333333,12435.67,3334.5,NA,"4400","1.95",NA,"Both","Yes","Both","Weekly","Yes","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"No","Yes",NA,"Yes",0.211443503779604
"44","Brewster","7133",3729,0.522781438384971,1576,884.98,"4.71","270","11.98","402","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Both","Yes","Yes",NA,"Yes","Yes",NA,NA,"Yes",0.359604710318654
"47","Brockton","28225",26368,0.934207263064659,27962,8759.58,"0","5812","58.15","0","Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Recycling","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",0.238540389601972
"48","Brookfield","949",600,0.632244467860906,530.99,151,NA,NA,"3",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes","Yes","Yes","Yes","No","Yes",NA,NA,0.221410871127143
"49","Brookline","24436",14547,0.595310198068424,8584,4882.31,"259.49","3293.33","30.5",NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Both","Neither",NA,NA,NA,NA,"Yes","Yes","Yes","Yes",0.362557374663141
"50","Buckland","682",620,0.909090909090909,243.04,151.5,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.383991483753232
"51","Burlington","7250",7055,0.973103448275862,5756.29,2285.93,NA,NA,NA,NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.284241167239891
"52","Cambridge","50000",32500,0.65,15071,9067.87,"380.71","2014","64.39",NA,"Curbside",NA,"Curbside","Weekly","Yes","Curbside","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.375654287048234
"53","Canton","7477",7459,0.997592617359904,7095.4,1939,NA,NA,NA,NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.214624103426902
"54","Carlisle","1800",1600,0.888888888888889,1934.11,750.99,"0","0","0","226","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Neither","Yes",NA,"Yes",NA,"No","Yes","No","Yes",0.279687907340509
"56","Charlemont","473",440,0.930232558139535,171.15,77.68,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.31218100711329
"57","Charlton","4964",0,0,295,65.18,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.180965073019046
"58","Chatham","5873",3160,0.53805550825813,4687,1659.66,NA,NA,"18.05","1052","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Both","Yes","Yes",NA,"Yes","No","Yes","No","Yes",0.261501325106434
"59","Chelmsford","13564",12697,0.936080802123267,11160.04,3488.7,NA,NA,NA,NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,"Yes",0.238157001899139
"61","Cheshire","1358",835,0.614874815905744,639.24,159.65,NA,"10.8","9.3000000000000007",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.199839777691547
"62","Chester","699",240,0.343347639484979,206.27,54.19,NA,NA,"7.13","33","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","Yes",NA,0.208054979651386
"63","Chesterfield","555",226,0.407207207207207,158.94,63.33,NA,NA,"1.5",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes",0.2849237413956
"64","Chicopee","24300",18902,0.777860082304527,11856.73,4936.45,NA,"6051.7","7.06",NA,"Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes",NA,0.293955641516377
"65","Chilmark","886",300,0.338600451467269,83,57,"1",NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Neither","Both",NA,NA,NA,NA,"Yes","Yes","No",NA,0.407142857142857
"66","Clarksburg","720",0,0,2.65,2.88,NA,NA,"2.27",NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,"Yes",0.520795660036166
"67","Clinton","4512",4256,0.943262411347518,2442.04,1111.37,NA,"27","10.86",NA,"Curbside",NA,"Both","Bi-weekly","Yes","None","Both","Both","Recycling","Recycling","Yes","Yes",NA,NA,"Yes","Yes","No",NA,0.312761544544536
"68","Cohasset","3433",3157,0.919603845033498,1438.81,867.45,NA,NA,"12.18","154","Drop-off",NA,"Drop-off",NA,"No","None","Both","Recycling","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes",NA,"Yes",0.376128450391543
"69","Colrain","675",645,0.955555555555556,285.29,153.13,NA,NA,"1.53",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.349276949044295
"70","Concord","5500",3504,0.637090909090909,2642.74,1858.73,NA,"3365.4","9.52","7","Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Recycling","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",0.412916225144231
"71","Conway","669",648,0.968609865470852,550.09,264.79,"42",NA,"3.12",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"No","Yes",NA,"Yes",0.324943549970548
"72","Cummington","426",295,0.692488262910798,190.27,83.52,NA,NA,"3.46",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes",0.305051316702582
"73","Dalton","2552",665,0.260579937304075,440,243.85,NA,"0",NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,0.356584046208964
