"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","E-Waste","C&D","Trash Service Type","Provide Trash Bins","Recycling Service Type","Recycling Collection Frequency","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Compost Bin Distribution Program","diversion"
"128","Harvard","1966",1250,0.635808748728383,864.84,541.23,NA,NA,"1.84","61","Drop-off",NA,"Drop-off",NA,"No","None","Both","Recycling","Neither","Neither",NA,NA,"Yes",NA,"Yes","Yes","No",NA,0.384923936930594
"129","Harwich","10255",5550,0.541199414919551,5158,1457.5,NA,"1195","59","11913","Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Both",NA,"Yes","Yes",NA,"No",NA,NA,NA,0.220315924722243
"131","Haverhill","21300",20928,0.982535211267606,22104,8450.68,"0","540","42.5","0","Curbside","Yes","Both","Bi-weekly","No","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes","Yes","Yes",0.276575634239992
"132","Hawley","166",0,0,0,0,NA,NA,NA,NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,NA,NA
"133","Heath","381",327,0.858267716535433,137.64,90.72,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.397267472411981
"134","Hingham","7555",7555,1,6803.8,2187.33,NA,"3453.25","42","965","Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes","No",NA,0.243276429102905
"135","Hinsdale","743",619,0.833109017496635,409.65,102.33,NA,NA,"8.67",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Recycling","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.199871088714403
"137","Holden","7621",5980,0.784673927306128,4629.87,2116.37,NA,NA,"27.68",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","Curbside","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.313711044967271
"139","Holliston","5197",4834,0.930152010775447,3532,1988.63,NA,"64","14","36","Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,"Yes",0.360217946140205
"140","Holyoke","16200",9950,0.614197530864197,7807,948,NA,NA,NA,NA,"Both",NA,"Both","Bi-weekly","No","None","Both","Recycling","Recycling","Neither","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.108280982295831
"144","Hudson","6969",1710,0.245372363323289,911.43,946.37,NA,"193.86","4.8",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Neither","Neither",NA,NA,"Yes",NA,"No",NA,NA,NA,0.50940359565077
"145","Hull","10400",0,0,0,13,"0","0","0","0","None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,NA,1
"146","Huntington","955",462,0.483769633507853,402.92,146,NA,NA,"7",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes",0.265976827224368
"147","Ipswich","6401",5067,0.791595063271364,3120.75,1935.15,"287.91000000000003","356.4","14.22",NA,"Curbside",NA,"Both","Weekly","No","Curbside","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,0.382750845546787
"148","Kingston","4751",2953,0.62155335718796,3181,1056.37,NA,"500","36.700000000000003","650","Drop-off",NA,"Drop-off",NA,"No","None","Recycling","Neither","Neither","Neither","Yes","Yes",NA,NA,"No","Yes","No","Yes",0.249298503552911
"149","Lakeville","4499",1342,0.298288508557457,988.62,325.48,NA,NA,"9.07",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Neither","Neither","Neither","Neither","Yes","Yes",NA,NA,"Yes",NA,NA,NA,0.247682824746975
"151","Lanesborough","1322",0,0,3.64,51.2,NA,NA,"4524",NA,"None",NA,"Drop-off",NA,"No","None","Recycling","Neither","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.933625091174325
"152","Lawrence","30000",21723,0.7241,29650,4424,NA,NA,NA,NA,"Curbside","Yes","Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.129835064858837
"153","Lee","2265",0,0,0,0,NA,NA,NA,NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,NA,NA
"154","Leicester","3603",0,0,0,158.45,NA,"60","104.8","0","None",NA,"Drop-off",NA,"No","None","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,1
"156","Leominster","14941",11546,0.772772906766615,10254,3265,NA,"0","0","0","Both","Yes","Both","Weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.241511946149863
"157","Leverett","719",651,0.905424200278164,287.86,186.06,"42","1","2.63",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.392597906819716
"158","Lexington","12463",11046,0.88630345823638,9002,6790,"687","3543","22","50","Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.429964539007092
"160","Lincoln","1934",1934,1,896,553.62,"42",NA,"12",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"No","Yes","Yes","Yes",0.381906982519557
"161","Littleton","3102",1751,0.564474532559639,6731.79,829.8,NA,"130","4","189","Drop-off",NA,"Drop-off",NA,"No","None","Neither","Neither","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.109738824770981
"162","Longmeadow","5779",5534,0.957605121993425,3797.41,1858.5,NA,"319.57","24.17",NA,"Curbside","Yes","Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.328594337604382
"163","Lowell","38000",25000,0.657894736842105,26191.81,6908.57,"0","261.63","28.18","0","Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"No","Yes","Yes","Yes",0.208715730755961
"164","Ludlow","7156",7080,0.989379541643376,5452,1577,NA,"2276","43",NA,"Both",NA,"Both","Weekly","No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.224356238440745
"165","Lunenburg","4244",3644,0.858623939679548,1901.44,1108.82,NA,"129",NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,"Yes",0.368346920199584
"166","Lynn","33122",27000,0.81516816617354,29113.74,7651.59,NA,"583.74","14.14","0","Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"Yes","Yes","Yes","Yes",0.208119714959719
"167","Lynnfield","4590",4350,0.947712418300654,4870.9,1332.44,NA,"14.58","1.47",NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.21479396583131
"168","Malden","25000",17100,0.684,12826.55,4286.42,NA,"1760","0",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,0.250477853931842
"169","Manchester","2413",2413,1,1154.81,989.03,"216.88",NA,"9.6999999999999993",NA,"Both",NA,"Both","Weekly","No","Both","Both","Neither","Recycling","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,NA,0.461335734010001
"170","Mansfield","7912",6831,0.863372093023256,5307,2504.1,NA,NA,"46.3",NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.320582248338902
"171","Marblehead","8000",8000,1,4658.4,2943.48,"3765","1211.1099999999999","32.909999999999997",NA,"Both",NA,"Both","Weekly","No","Both","Both","Both","Recycling","Both","Yes",NA,"Yes",NA,"No","Yes","No","Yes",0.387204217903992
"172","Marion","2773",2773,1,1549.42,541.74,NA,"39.78",NA,NA,"Both","Yes","Both","Bi-weekly","Yes","None","Both","Both","Recycling","Neither","Yes",NA,"Yes",NA,"No",NA,NA,NA,0.259061956043536
"173","Marlborough","12000",12000,1,9194.21,3146.73,NA,NA,NA,NA,"Both","Yes","Both","Bi-weekly","Yes","Drop-off","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.254983007777365
"174","Marshfield","9650",9524,0.986943005181347,6141,3656.63,NA,"164","38","3471","Both",NA,"Both","Weekly","Yes","None","Both","Both","Both","Neither",NA,"Yes","Yes",NA,"No",NA,NA,"Yes",0.373215767486627
"175","Mashpee","7074",4624,0.653661294882669,4052.37,1177.06,"12.45","129.6","24.95",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Neither","Neither","Yes",NA,"Yes","Yes","No",NA,NA,"Yes",0.225083804544664
"176","Mattapoisett","3600",3600,1,2200,1621.48,NA,"108",NA,NA,"Both","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.424306813067189
"177","Maynard","4166",4166,1,2385.26,1037.99,NA,"51.84","4.74",NA,"Curbside",NA,"Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,"Yes",0.303217702475717
"178","Medfield","4424",3519,0.795433996383363,2915,1167.85,"26.25","1972","23",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Neither","Neither","Neither","Neither","Yes","Yes",NA,NA,"No",NA,NA,"Yes",0.286037939184638
"179","Medford","21322",19500,0.914548353812963,16535,5661,"0","2289","0","0","Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.255045954225987
"180","Medway","4458",4176,0.936742934051144,3763.32,1822.62,NA,"459","40.6",NA,"Both",NA,"Both","Weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes","Yes","No","Yes",0.32628707075264
"181","Melrose","11514",8905,0.773406287997221,7200,3212.9,"26.7","990","26.13",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"No",NA,NA,"Yes",0.308549971669756
"183","Merrimac","3178",1288,0.405286343612335,620.58,565.05,NA,"75.06",NA,NA,"Curbside",NA,"Curbside","Bi-weekly","Yes","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,NA,0.476582070291744
"184","Methuen","17907",14221,0.794158708884794,19379.11,2644.75,NA,NA,"38.79","1762","Both",NA,"Both","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,"Yes",NA,"No",NA,NA,"Yes",0.120085670722571
"185","Middleborough","7362",6395,0.86864982341755,5145,2108.5,NA,"370","16.329999999999998","35","Both","Yes","Both","Bi-weekly","Yes","None","Both","Neither","Neither","Neither",NA,"Yes","Yes",NA,"Yes",NA,NA,"Yes",0.290687254428896
"186","Middlefield","269",164,0.609665427509294,141.69,49.45,NA,NA,"1.54",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,"Yes",NA,NA,"No","Yes","No","Yes",0.2587108925395
"188","Milford","11500",9000,0.782608695652174,9987,3300,NA,NA,NA,NA,"Curbside",NA,"Both","Bi-weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.248363061639196
"190","Millis","3656",945,0.258479212253829,462.09,282.81,NA,NA,"4.72",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Recycling","Neither","Neither",NA,NA,"Yes",NA,"No","Yes","No",NA,0.379661699556988
"192","Milton","9555",8937,0.935321821036107,6967.34,3893.31,NA,"373.03","21.65",NA,"Curbside","Yes","Both","Weekly","Yes","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"Yes",NA,NA,"Yes",0.358478544101872
"193","Monroe","73",73,1,53.83,25.2,NA,NA,"1.25",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Neither","Both","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.318866253321523
"194","Monson","2962",2689,0.907832545577313,2543.97,442.12,NA,NA,NA,NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"No","Yes",NA,"Yes",0.148059837446293
"195","Montague","2625",2625,1,1609.97,581.89,NA,"100","13.64",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.265477722117288
"196","Monterey","902",600,0.665188470066519,353.17,187.99,NA,NA,"3.66","97","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"No","Yes","No","Yes",0.347383398625176
"198","Mount Washington","146",146,1,46.38,27.47,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Both",NA,"Yes",NA,NA,"No","Yes","Yes",NA,0.371970209884902
"200","Nantucket","9293",9293,1,11109.75,4121.64,"7332.44","13837.54","23.48","7612","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Both","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.270601698203513
"201","Natick","13440",10600,0.788690476190476,6092.04,5364.23,NA,"334.8","9.1199999999999992",NA,"Curbside",NA,"Both","Bi-weekly","Yes","Curbside","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes",NA,NA,"Yes",0.468235298225339
"202","Needham","8402",5400,0.642704118067127,3259,3067.59,"0","88.56","0.02","5386","Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.48487257748645
"203","New Ashford","95",0,0,0,18.73,NA,NA,"1450",NA,"None",NA,"Drop-off",NA,"No","None","Recycling","Neither","Recycling","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",1
"204","New Bedford","38888",36394,0.935867105533841,32831.37,8674.1,NA,"5237.54","58.57","180","Curbside","Yes","Both","Weekly","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes","Yes","Yes",0.208986911845595
"206","New Marlborough","940",455,0.484042553191489,262.87,143.37,"262.87",NA,"8.93","89","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Both","Both",NA,NA,"Yes",NA,"No",NA,NA,NA,0.352919456478929
"207","New Salem","426",228,0.535211267605634,186.01,105.78,"4",NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.362520991123753
"209","Newburyport","9950",7514,0.755175879396985,5641.58,2593.94,"227.18","487.08","26.16","0","Curbside",NA,"Both","Bi-weekly","Yes","Both","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.314969789400062
"210","Newton","33500",28500,0.850746268656716,18690.06,10211.68,NA,"1949.4","71.56","54","Curbside","Yes","Both","Weekly","Yes","Drop-off","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.353324055921893
"211","Norfolk","3869",1270,0.32825019384854,916,418,NA,"455","6.87",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,NA,0.313343328335832
"212","North Adams","5366",5366,1,4718,153.02,NA,"249","11.22","6","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Both","Both",NA,NA,"Yes",NA,"Yes",NA,NA,NA,0.0314143649584687
"213","North Andover","11607",8311,0.71603342810373,8864,2729.19,NA,NA,NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Recycling","Neither","Yes",NA,NA,NA,"No",NA,NA,NA,0.235413203786016
"214","North Attleborough","11071",9002,0.813115346400506,5369.13,3027.39,NA,"675","12.5","59","Both",NA,"Both","Weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes","Yes","Yes",NA,0.36055294336225
"215","North Brookfield","2053",1077,0.52459814905017,640,129,NA,"110","2.7","51","Drop-off",NA,"Drop-off",NA,"No","None","Both","Recycling","Both","Neither",NA,"Yes",NA,NA,"Yes","Yes","Yes",NA,0.167750325097529
"216","North Reading","5370",4363,0.812476722532588,4523,288.3,NA,NA,NA,NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.0599214349552096
"217","Northampton","12065",3003,0.24890178201409,907.28,883.18,"201.37","262","1.56",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Neither","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes","Yes","No","Yes",0.493269885951096
"218","Northborough","5949",4953,0.832576903681291,2097,1174.86,NA,"461.97",NA,NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.359080156241404
"220","Northfield","1145",825,0.720524017467249,393.64,265.89,"63",NA,"3.12",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.403150728549118
"222","Norwell","3680",3567,0.96929347826087,2806,1735.7,NA,"311.04000000000002","14.6",NA,"Curbside","Yes","Both","Weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.382169672149195
"223","Norwood","13381",9639,0.720349749645019,10616.97,3722.99,"12","164.7",NA,NA,"Curbside","Yes","Both","Bi-weekly","Yes","Drop-off","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.259623457806019
"224","Oak Bluffs","3035",1894,0.624052718286656,759.33,261.87,"6.1",NA,NA,NA,"Both",NA,"Drop-off",NA,"No","Drop-off","Both","Trash","Neither","Neither",NA,NA,NA,NA,"Yes",NA,NA,"Yes",0.256433607520564
"225","Oakham","810",0,0,0,0,NA,NA,NA,NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,NA,NA
"226","Orange","2475",1170,0.472727272727273,734.71,288.18,"8","100","9",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.281731173439959
"227","Orleans","5362",3825,0.713353226408057,1914,789.84,NA,"620","50.24","514","Drop-off",NA,"Drop-off",NA,"No","None","Recycling","Recycling","Recycling","Recycling","Yes","Yes",NA,"Yes","No","Yes","No","Yes",0.292117876797444
"228","Otis","1701",1200,0.705467372134039,853.56,269.82,NA,"3.88","6.79","203","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Both","Yes","Yes",NA,NA,"No","Yes","Yes",NA,0.240185867649415
"230","Palmer","4255",0,0,0,95,NA,NA,NA,NA,"None",NA,"Drop-off",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,NA,1
"231","Paxton","1592",1592,1,1524.35,161.64,NA,NA,"4.21",NA,"Curbside",NA,"Both","Weekly","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,"No","Yes",NA,"Yes",0.0958724547595182
"232","Peabody","17394",14000,0.804875244337128,16398.69,3626.52,NA,"1155.29","42",NA,"Both",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.181097726315979
"234","Pembroke","6686",6544,0.978761591384984,5803.99,2137.46,NA,"900","16.809999999999999","62","Curbside","Yes","Both","Weekly","Yes","None","Both","Recycling","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.269152358826159
"235","Pepperell","4647",1405,0.302345599311384,908.71,603.52,NA,NA,"7.45","279","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Both",NA,NA,"Yes","Yes","Yes",NA,NA,NA,0.399092730603149
"236","Peru","380",335,0.881578947368421,207.53,64.92,NA,NA,"1.08",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.238282253624518
"237","Petersham","495",294,0.593939393939394,216.76,129.95,NA,NA,"0.05",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Recycling","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,NA,0.374808918116005
"238","Phillipston","803",392,0.488169364881694,192.63,92.49,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes",NA,NA,NA,0.324389730639731
"239","Pittsfield","13741",13617,0.990975911505713,17440,1962.92,NA,NA,NA,NA,"Both",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.101166216219002
"240","Plainfield","312",216,0.692307692307692,106.21,51.27,NA,NA,"1.86",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,NA,NA,NA,"Yes","Yes","No","Yes",0.325565151130302
"241","Plainville","4043",2389,0.590897848132575,1569,854.59,NA,"441","5",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes","Yes",NA,NA,"Yes",NA,NA,"Yes",0.35261327204684
"242","Plymouth","32340",4355,0.134662956091528,2519.61,1241.5,NA,"1000","33.700000000000003",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",0.330088723807599
"244","Princeton","1257",0,0,0,24.4,NA,NA,"4.51",NA,"None",NA,"None",NA,"No","None","Neither","Neither","Neither","Neither",NA,NA,NA,NA,"No",NA,NA,"Yes",1
"245","Provincetown","2556",2556,1,2432,1169.34,NA,"17.28","11",NA,"Both",NA,"Both","Weekly","No","None","Both","Both","Neither","Both","Yes",NA,"Yes","Yes","No","Yes","Yes",NA,0.324695807671589
"246","Quincy","45000",33500,0.744444444444444,32467.65,5664.64,NA,"1182.5999999999999","78.14",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No",NA,NA,"Yes",0.148552316160398
"247","Randolph","12253",9526,0.777442259038603,11105,2537,NA,"1469","19",NA,"Curbside",NA,"Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.185969799149685
"248","Raynham","4562",1190,0.26085050416484,742.06,415.28,NA,NA,"20.82","360","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither",NA,NA,"Yes",NA,"Yes",NA,NA,NA,0.358822817840911
"249","Reading","8895",8293,0.932321528948848,7585.39,2767.38,NA,"4123.7","38.340000000000003",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.267308169697578
"251","Revere","27269",20452,0.750009167919616,18989.65,3677.92,NA,"760.67","19.809999999999999",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,NA,0.162254710143169
"253","Rochester","1984",1984,1,2313.87,589.43,"0","0","0","0","Both","Yes","Both","Bi-weekly","Yes","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"No",NA,NA,"Yes",0.203020700582096
"254","Rockland","5445",5075,0.932047750229568,4554,1373.46,NA,"500","13.4",NA,"Curbside","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"No","Yes",NA,"Yes",0.231711390713729
"255","Rockport","4922",3125,0.634904510361642,2090.93,1024.1,NA,NA,"8.08",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"Yes","Yes","No",NA,0.328760878707428
"256","Rowe","216",184,0.851851851851852,127.87,67.25,NA,NA,"1.1000000000000001",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,"Yes",NA,"Yes","Yes",NA,"Yes",0.344659696596966
"258","Royalston","562",385,0.685053380782918,248.5,217.7,NA,NA,"11.77",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Both","Yes",NA,"Yes",NA,"Yes",NA,NA,"Yes",0.466966966966967
"259","Russell","563",420,0.746003552397869,245.37,84.86,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,"Yes","Yes",NA,NA,0.256972413166581
"261","Salem","20981",17000,0.810256899099185,12004.11,4076.95,"190.04","585.29","40.26",NA,"Curbside","Yes","Curbside","Bi-weekly","Yes","Drop-off","Both","Both","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes","Yes","Yes",0.25352495420078
"264","Sandwich","8500",5000,0.588235294117647,3219,2391.95,NA,"11253","10.24",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Both",NA,NA,NA,"Yes","Yes",NA,NA,NA,0.426300359119222
"265","Saugus","10662",8758,0.82142187206903,9793.74,2389.11,NA,"248.4","46.3",NA,"Curbside",NA,"Both","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.196104359817284
"266","Savoy","293",164,0.559726962457338,100.17,33.86,NA,NA,"3.12",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes",NA,"Yes",NA,"Yes","Yes","No","Yes",0.252630008207118
"267","Scituate","7850",5237,0.667133757961783,5497,2625.74,NA,NA,"51","2518","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither",NA,NA,"Yes",NA,"Yes","Yes","No",NA,0.323257915432477
"268","Seekonk","5306",5146,0.969845457972107,3230.86,1536.08,NA,"135","5.77",NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Neither","Neither","Neither",NA,"Yes",NA,"Yes","Yes","Yes","No",NA,0.322236067582139
"269","Sharon","6686",5376,0.804068202213581,4692.08,2557.64,NA,NA,NA,NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,0.352791556087683
"270","Sheffield","1703",849,0.498532002348796,636.68,230.9,NA,NA,"6.66",NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither",NA,"Yes",NA,NA,"No",NA,NA,NA,0.266142603563936
"271","Shelburne","607",503,0.828665568369028,257.69,123.42,NA,NA,NA,NA,"Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes",NA,"Yes",0.323843509747842
"272","Sherborn","1456",1456,1,1598.31,702.35,"38.25",NA,"18.8",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Recycling","Both","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.305281962567263
