"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.6205","0.0905","1600000US3708760","Buies Creek CDP, North Carolina"
"0.3505","0.0645","1600000US3708860","Bunn town, North Carolina"
"0.3771","0.0804","1600000US3708880","Bunnlevel CDP, North Carolina"
"0.4230","0.0635","1600000US3708960","Burgaw town, North Carolina"
"0.4826","0.0228","1600000US3709060","Burlington city, North Carolina"
"0.5601","0.0890","1600000US3709140","Burnsville town, North Carolina"
"0.3446","0.0368","1600000US3709360","Butner town, North Carolina"
"0.2600","0.1862","1600000US3709380","Butters CDP, North Carolina"
"0.4321","0.0875","1600000US3709400","Buxton CDP, North Carolina"
"0.3678","0.0254","1600000US3709530","Cajah's Mountain town, North Carolina"
"0.4247","0.0808","1600000US3709540","Calabash town, North Carolina"
"0.3484","0.0519","1600000US3709760","Calypso town, North Carolina"
"0.4488","0.1197","1600000US3709780","Camden CDP, North Carolina"
"0.3150","0.0746","1600000US3709800","Cameron town, North Carolina"
"0.3263","0.0668","1600000US3710120","Candor town, North Carolina"
"0.3982","0.0361","1600000US3710240","Canton town, North Carolina"
"0.3790","0.0633","1600000US3710260","Cape Carteret town, North Carolina"
"0.4193","0.0694","1600000US3710264","Cape Colony CDP, North Carolina"
"0.3419","0.1158","1600000US3710460","Caroleen CDP, North Carolina"
"0.4644","0.0305","1600000US3710500","Carolina Beach town, North Carolina"
"0.3366","0.0870","1600000US3710532","Carolina Meadows CDP, North Carolina"
"0.3702","0.0422","1600000US3710550","Carolina Shores town, North Carolina"
"0.4759","0.0254","1600000US3710620","Carrboro town, North Carolina"
"0.4303","0.0438","1600000US3710680","Carthage town, North Carolina"
"0.4169","0.0093","1600000US3710740","Cary town, North Carolina"
"0.5117","0.1034","1600000US3710760","Casar town, North Carolina"
"0.4319","0.1050","1600000US3710800","Cashiers CDP, North Carolina"
"0.4389","0.1126","1600000US3710860","Castalia town, North Carolina"
"0.3504","0.0722","1600000US3710880","Castle Hayne CDP, North Carolina"
"0.4212","0.0859","1600000US3710960","Caswell Beach town, North Carolina"
"0.4707","0.1500","1600000US3710980","Catawba town, North Carolina"
"0.4455","0.0502","1600000US3711340","Cedar Point town, North Carolina"
"0.3508","0.0595","1600000US3711352","Cedar Rock village, North Carolina"
